source_file,sample_index,brake_temp,oil_pressure,engine_temp,tire_pressure,brake_fluid_level,mileage,failure_occurred,failure_type,obd_coolant_temp,obd_intake_pressure,obd_avg_speed
2017-07-05_Seat_Leon_S_KA_Normal.csv,6,101.2,34.7,91.0,26.5,84.2,41612,1,tire,91.0,132.7,31.0
2017-07-05_Seat_Leon_S_KA_Normal.csv,7,75.5,52.6,91.0,33.0,91.2,54006,0,none,91.0,120.5,77.8
2017-07-05_Seat_Leon_S_KA_Normal.csv,8,74.1,39.9,91.0,33.0,91.3,49125,0,none,91.0,190.6,106.4
2017-07-05_Seat_Leon_S_KA_Normal.csv,9,110.6,23.8,91.7,21.0,53.5,25868,1,brake,91.7,117.2,96.2
2017-07-05_Seat_Leon_S_KA_Normal.csv,10,117.5,20.4,96.0,23.2,64.7,22235,1,fluid,96.0,114.3,15.5
2017-07-05_Seat_Leon_S_KA_Normal.csv,11,71.7,38.9,91.0,32.7,89.7,43951,0,none,91.0,118.3,118.1
2017-07-05_Seat_Leon_S_KA_Normal.csv,12,97.6,34.4,91.0,26.3,70.1,62909,1,fluid,91.0,193.9,119.4
2017-07-05_Seat_Leon_S_KA_Normal.csv,13,79.0,48.6,90.0,31.8,91.8,14435,0,none,90.0,121.2,60.6
2017-07-05_Seat_Leon_S_KA_Normal.csv,14,60.0,44.6,80.0,32.8,88.1,64584,0,none,48.5,119.4,29.9
2017-07-06_Seat_Leon_KA_KA_Normal.csv,0,72.3,50.8,83.9,31.6,91.8,57729,0,none,83.9,105.0,12.9
2017-07-06_Seat_Leon_KA_KA_Normal.csv,1,96.5,33.0,90.0,27.2,70.2,67418,0,none,90.0,88.6,0.8
2017-07-06_Seat_Leon_KA_KA_Normal.csv,2,99.2,31.7,90.2,26.7,77.7,50607,0,none,90.2,112.7,31.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,3,97.6,30.1,91.0,28.7,82.8,76855,1,tire,91.0,103.4,0.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,4,76.2,53.1,90.0,30.5,94.4,75133,0,none,90.0,113.2,19.6
2017-07-06_Seat_Leon_KA_KA_Normal.csv,5,95.8,34.4,90.6,26.4,70.1,67523,0,none,90.6,109.0,33.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,6,69.5,23.8,80.0,23.3,56.4,28699,1,engine,53.0,111.1,27.2
2017-07-06_Seat_Leon_KA_KA_Normal.csv,7,60.0,43.2,80.0,33.4,92.2,42693,0,none,53.0,108.0,24.7
2017-07-06_Seat_Leon_KA_KA_Normal.csv,8,112.1,22.8,92.0,24.9,52.5,63175,1,brake,92.0,115.6,14.4
2017-07-06_Seat_Leon_KA_KA_Normal.csv,9,79.1,50.5,90.0,34.0,95.4,64057,0,none,90.0,102.6,0.3
2017-07-06_Seat_Leon_KA_KA_Normal.csv,10,76.5,50.2,90.0,30.9,88.3,81294,0,none,90.0,99.4,0.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,11,110.8,20.8,87.0,22.0,50.7,60623,1,engine,87.0,99.0,0.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,12,103.1,28.0,94.0,27.6,76.6,71406,0,none,94.0,113.2,35.0
2017-07-06_Seat_Leon_KA_KA_Normal.csv,13,60.0,44.9,80.0,30.4,95.7,84885,0,none,62.7,125.4,80.9
2017-07-06_Seat_Leon_KA_KA_Normal.csv,14,79.6,40.6,90.0,31.8,91.4,78061,0,none,90.0,115.9,20.8
2017-07-06_Seat_Leon_KA_RT_Normal.csv,0,110.9,24.4,90.0,22.5,50.5,44077,1,fluid,90.0,128.3,126.4
2017-07-06_Seat_Leon_KA_RT_Normal.csv,1,78.2,45.2,93.0,30.6,85.6,68590,0,none,93.0,109.6,87.0
2017-07-06_Seat_Leon_KA_RT_Normal.csv,2,100.7,33.8,91.0,27.5,75.5,11988,0,none,91.0,183.0,114.5
2017-07-06_Seat_Leon_KA_RT_Normal.csv,3,62.9,31.9,80.0,26.9,79.5,31631,0,none,51.0,102.3,5.3
2017-07-06_Seat_Leon_KA_RT_Normal.csv,4,76.2,45.2,90.0,31.2,90.2,45637,0,none,90.0,104.6,26.5
2017-07-06_Seat_Leon_KA_RT_Normal.csv,5,60.0,41.7,80.0,32.8,98.4,89312,0,none,51.0,104.9,9.5
2017-07-06_Seat_Leon_KA_RT_Normal.csv,6,99.8,33.7,91.0,26.4,81.6,81004,1,fluid,91.0,168.0,93.3
2017-07-06_Seat_Leon_KA_RT_Normal.csv,7,97.9,32.1,90.5,26.7,71.8,47114,1,brake,90.5,109.7,16.7
2017-07-06_Seat_Leon_KA_RT_Normal.csv,8,79.7,50.0,91.0,32.2,89.1,40167,0,none,91.0,142.4,125.0
2017-07-06_Seat_Leon_KA_RT_Normal.csv,9,80.7,52.6,91.0,31.2,86.2,10905,0,none,91.0,132.1,93.3
2017-07-06_Seat_Leon_KA_RT_Normal.csv,10,103.3,28.1,91.0,27.2,74.5,78933,1,fluid,91.0,125.2,124.4
2017-07-06_Seat_Leon_KA_RT_Normal.csv,11,71.5,51.1,91.0,31.8,96.8,17683,0,none,91.0,183.5,153.3
2017-07-06_Seat_Leon_KA_RT_Normal.csv,12,115.0,22.4,90.6,20.3,56.2,10537,1,engine,90.6,125.2,78.0
2017-07-06_Seat_Leon_KA_RT_Normal.csv,13,79.5,16.1,80.0,24.7,53.4,25771,1,engine,58.1,103.0,24.9
2017-07-06_Seat_Leon_KA_RT_Normal.csv,14,111.8,17.1,90.0,21.0,64.1,54584,1,engine,90.0,107.1,69.6
2017-07-07_Seat_Leon_RT_S_Normal.csv,0,74.5,50.8,91.0,31.5,91.1,69082,0,none,91.0,189.3,125.0
2017-07-07_Seat_Leon_RT_S_Normal.csv,1,103.7,31.6,90.0,26.6,70.7,80798,0,none,90.0,158.5,94.6
2017-07-07_Seat_Leon_RT_S_Normal.csv,2,95.4,34.2,90.0,28.5,83.1,39623,1,tire,90.0,110.9,86.1
2017-07-07_Seat_Leon_RT_S_Normal.csv,3,102.2,30.1,91.0,26.2,84.1,64935,0,none,91.0,104.3,17.6
2017-07-07_Seat_Leon_RT_S_Normal.csv,4,70.8,22.9,80.0,22.0,57.9,47867,1,brake,55.1,119.4,60.0
2017-07-07_Seat_Leon_RT_S_Normal.csv,5,99.0,28.5,91.0,27.2,77.7,49975,0,none,91.0,118.6,49.5
2017-07-07_Seat_Leon_RT_S_Normal.csv,6,75.4,41.4,91.0,31.0,86.9,30939,0,none,91.0,99.9,6.5
2017-07-07_Seat_Leon_RT_S_Normal.csv,7,95.5,31.0,90.0,28.3,71.8,85369,1,fluid,90.0,101.7,85.8
2017-07-07_Seat_Leon_RT_S_Normal.csv,8,97.9,29.6,90.0,28.8,76.1,62833,0,none,90.0,104.4,12.6
2017-07-07_Seat_Leon_RT_S_Normal.csv,9,101.3,28.9,90.0,27.0,74.8,45820,0,none,90.0,108.0,56.5
2017-07-07_Seat_Leon_RT_S_Normal.csv,10,72.7,44.3,91.0,30.5,85.2,13325,0,none,91.0,101.0,8.0
2017-07-07_Seat_Leon_RT_S_Normal.csv,11,79.7,54.5,90.0,33.2,91.6,23357,0,none,90.0,146.1,92.5
2017-07-07_Seat_Leon_RT_S_Normal.csv,12,71.3,51.8,90.0,33.7,87.0,89656,0,none,90.0,110.8,40.4
2017-07-07_Seat_Leon_RT_S_Normal.csv,13,112.0,21.5,90.9,22.1,56.8,63543,1,engine,90.9,104.4,17.5
2017-07-07_Seat_Leon_RT_S_Normal.csv,14,80.5,46.0,91.0,30.9,96.8,14032,0,none,91.0,106.3,17.1
2017-07-07_Seat_Leon_S_RT_Normal.csv,0,77.3,41.3,90.6,30.9,88.1,56228,0,none,90.6,138.5,101.4
2017-07-07_Seat_Leon_S_RT_Normal.csv,1,103.1,31.3,91.0,26.0,78.4,23458,0,none,91.0,124.4,85.5
2017-07-07_Seat_Leon_S_RT_Normal.csv,2,78.3,48.6,91.0,32.4,97.0,24799,0,none,91.0,169.5,95.5
2017-07-07_Seat_Leon_S_RT_Normal.csv,3,111.4,20.3,90.6,24.3,63.8,80276,1,brake,90.6,101.7,72.6
2017-07-07_Seat_Leon_S_RT_Normal.csv,4,78.7,41.7,92.0,32.9,90.7,84700,0,none,92.0,167.4,85.5
2017-07-07_Seat_Leon_S_RT_Normal.csv,5,74.6,42.2,91.0,30.4,90.5,85399,0,none,91.0,100.8,85.7
2017-07-07_Seat_Leon_S_RT_Normal.csv,6,108.6,20.5,90.4,20.9,55.8,82464,1,fluid,90.4,111.8,103.5
2017-07-07_Seat_Leon_S_RT_Normal.csv,7,104.1,34.1,92.0,28.3,72.3,48995,1,fluid,92.0,145.7,86.6
2017-07-07_Seat_Leon_S_RT_Normal.csv,8,79.2,41.2,92.0,33.8,87.9,82576,0,none,92.0,140.2,83.9
2017-07-07_Seat_Leon_S_RT_Normal.csv,9,80.2,49.3,92.0,33.1,99.5,19330,0,none,92.0,158.2,90.0
2017-07-07_Seat_Leon_S_RT_Normal.csv,10,75.6,49.3,91.0,33.0,93.0,56442,0,none,91.0,174.9,125.0
2017-07-07_Seat_Leon_S_RT_Normal.csv,11,78.5,52.8,91.0,32.2,98.6,43424,0,none,91.0,175.2,94.8
2017-07-07_Seat_Leon_S_RT_Normal.csv,12,76.8,50.4,92.7,31.3,89.2,61800,0,none,92.7,141.5,118.6
2017-07-07_Seat_Leon_S_RT_Normal.csv,13,72.9,45.6,90.3,33.9,90.5,30891,0,none,90.3,110.0,43.1
2017-07-07_Seat_Leon_S_RT_Normal.csv,14,99.1,29.3,91.0,26.2,80.4,51570,1,brake,91.0,115.4,85.9
2017-07-10_Seat_Leon_KA_KA_Stau.csv,0,80.3,54.9,92.0,34.0,91.8,73845,0,none,92.0,98.2,0.0
2017-07-10_Seat_Leon_KA_KA_Stau.csv,1,74.8,39.9,90.8,32.2,93.6,82355,0,none,90.8,104.6,8.7
2017-07-10_Seat_Leon_KA_KA_Stau.csv,2,97.0,34.2,90.6,26.0,75.0,45179,0,none,90.6,117.4,18.6
2017-07-10_Seat_Leon_KA_KA_Stau.csv,3,113.4,18.2,90.0,23.4,53.9,29534,1,fluid,90.0,111.6,23.4
2017-07-10_Seat_Leon_KA_KA_Stau.csv,4,70.7,48.4,90.0,32.2,88.4,27737,0,none,90.0,102.3,17.8
2017-07-10_Seat_Leon_KA_KA_Stau.csv,5,78.1,42.7,91.8,33.8,94.9,36564,0,none,91.8,98.9,0.0
2017-07-10_Seat_Leon_KA_KA_Stau.csv,6,74.6,49.8,91.0,31.4,98.3,35798,0,none,91.0,104.0,19.2
2017-07-10_Seat_Leon_KA_KA_Stau.csv,7,70.9,46.1,90.8,32.2,98.2,14782,0,none,90.8,104.0,2.1
2017-07-10_Seat_Leon_KA_KA_Stau.csv,8,110.9,17.2,90.0,20.8,46.7,39250,1,brake,90.0,102.3,11.5
2017-07-10_Seat_Leon_KA_KA_Stau.csv,9,80.1,54.6,91.0,30.1,95.6,40353,0,none,91.0,109.8,24.0
2017-07-10_Seat_Leon_KA_KA_Stau.csv,10,99.5,34.5,91.0,28.3,81.1,26397,1,fluid,91.0,113.9,43.2
2017-07-10_Seat_Leon_KA_KA_Stau.csv,11,111.2,22.7,90.7,22.1,56.8,58550,1,brake,90.7,115.3,52.7
2017-07-10_Seat_Leon_KA_KA_Stau.csv,12,102.7,34.8,90.0,28.0,70.7,70483,0,none,90.0,101.6,10.1
2017-07-10_Seat_Leon_KA_KA_Stau.csv,13,71.6,49.4,91.0,31.0,90.0,83216,0,none,91.0,98.4,0.0
2017-07-10_Seat_Leon_KA_KA_Stau.csv,14,77.6,52.9,90.0,33.0,97.2,23006,0,none,90.0,102.7,10.3
2017-07-11_Seat_Leon_KA_KA_Stau.csv,0,70.3,41.0,87.0,31.3,92.0,64099,0,none,87.0,127.4,16.1
2017-07-11_Seat_Leon_KA_KA_Stau.csv,1,94.7,32.2,87.0,27.3,84.1,71425,1,fluid,87.0,104.9,4.1
2017-07-11_Seat_Leon_KA_KA_Stau.csv,2,79.9,50.6,90.0,32.5,96.9,46848,0,none,90.0,106.9,5.7
2017-07-11_Seat_Leon_KA_KA_Stau.csv,3,60.0,48.9,80.0,32.1,90.7,69469,0,none,58.2,120.0,90.1
2017-07-11_Seat_Leon_KA_KA_Stau.csv,4,70.6,46.4,90.0,31.2,97.2,72088,0,none,90.0,102.0,0.0
2017-07-11_Seat_Leon_KA_KA_Stau.csv,5,77.2,42.1,91.0,33.3,89.6,81748,0,none,91.0,110.0,11.7
2017-07-11_Seat_Leon_KA_KA_Stau.csv,6,69.2,54.0,87.0,30.4,93.6,58403,0,none,87.0,125.4,27.6
2017-07-11_Seat_Leon_KA_KA_Stau.csv,7,94.8,17.1,80.0,24.3,58.7,19410,1,brake,76.0,102.1,11.4
2017-07-11_Seat_Leon_KA_KA_Stau.csv,8,86.3,28.1,80.0,27.6,76.2,47400,1,tire,73.7,109.0,75.8
2017-07-11_Seat_Leon_KA_KA_Stau.csv,9,74.1,38.2,91.2,32.9,97.0,26308,0,none,91.2,144.6,41.1
2017-07-11_Seat_Leon_KA_KA_Stau.csv,10,60.0,45.6,80.0,32.3,85.8,47584,0,none,39.0,103.6,23.4
2017-07-11_Seat_Leon_KA_KA_Stau.csv,11,77.6,38.7,90.4,33.9,89.9,81130,0,none,90.4,99.0,0.0
2017-07-11_Seat_Leon_KA_KA_Stau.csv,12,114.7,16.8,90.0,20.0,59.0,15016,1,brake,90.0,106.4,9.8
2017-07-11_Seat_Leon_KA_KA_Stau.csv,13,60.0,46.1,80.0,32.3,98.3,84248,0,none,46.2,134.8,61.1
2017-07-11_Seat_Leon_KA_KA_Stau.csv,14,60.0,17.5,80.0,23.8,63.9,27770,1,brake,24.5,101.1,2.9
2017-07-11_Seat_Leon_KA_S_Normal.csv,0,100.4,28.9,90.0,28.4,71.5,54319,1,tire,90.0,163.6,100.8
2017-07-11_Seat_Leon_KA_S_Normal.csv,1,99.5,34.1,90.1,26.9,72.2,89618,1,tire,90.1,131.5,100.8
2017-07-11_Seat_Leon_KA_S_Normal.csv,2,72.2,44.3,91.0,30.2,86.7,48135,0,none,91.0,152.5,128.4
2017-07-11_Seat_Leon_KA_S_Normal.csv,3,75.7,47.9,90.0,32.2,88.2,64201,0,none,90.0,125.7,44.8
2017-07-11_Seat_Leon_KA_S_Normal.csv,4,114.9,17.3,90.8,20.9,59.5,26982,1,fluid,90.8,165.7,124.6
2017-07-11_Seat_Leon_KA_S_Normal.csv,5,77.3,51.7,91.0,33.2,89.2,66807,0,none,91.0,166.5,108.0
2017-07-11_Seat_Leon_KA_S_Normal.csv,6,97.3,31.3,92.0,29.0,75.8,24193,0,none,92.0,164.7,85.8
2017-07-11_Seat_Leon_KA_S_Normal.csv,7,71.1,40.8,91.0,31.0,87.8,56802,0,none,91.0,164.3,150.5
2017-07-11_Seat_Leon_KA_S_Normal.csv,8,75.8,42.7,91.0,32.5,85.9,36195,0,none,91.0,116.1,42.7
2017-07-11_Seat_Leon_KA_S_Normal.csv,9,111.5,21.8,90.0,23.7,53.4,64160,1,brake,90.0,158.2,68.6
2017-07-11_Seat_Leon_KA_S_Normal.csv,10,92.4,33.8,80.0,27.1,80.5,39987,1,fluid,78.5,116.4,55.5
2017-07-11_Seat_Leon_KA_S_Normal.csv,11,109.9,24.2,93.0,21.6,48.1,15871,1,engine,93.0,176.9,204.3
2017-07-11_Seat_Leon_KA_S_Normal.csv,12,113.7,21.6,90.2,24.3,49.8,83498,1,fluid,90.2,121.2,125.0
2017-07-11_Seat_Leon_KA_S_Normal.csv,13,107.6,20.4,91.0,22.4,63.6,73890,1,fluid,91.0,125.2,63.5
2017-07-11_Seat_Leon_KA_S_Normal.csv,14,96.9,29.0,91.0,27.2,81.6,59722,0,none,91.0,104.0,12.2
2017-07-11_Seat_Leon_S_RT_Frei.csv,0,80.2,48.0,93.0,31.0,94.6,29330,0,none,93.0,142.6,93.8
2017-07-11_Seat_Leon_S_RT_Frei.csv,1,105.3,33.3,91.0,27.0,77.1,37982,1,tire,91.0,189.5,125.0
2017-07-11_Seat_Leon_S_RT_Frei.csv,2,74.8,45.5,90.0,31.2,86.7,74106,0,none,90.0,104.3,23.3
2017-07-11_Seat_Leon_S_RT_Frei.csv,3,74.9,51.5,91.0,33.1,94.3,50059,0,none,91.0,162.6,122.5
2017-07-11_Seat_Leon_S_RT_Frei.csv,4,101.7,34.5,90.0,28.5,72.9,76635,0,none,90.0,110.7,82.7
2017-07-11_Seat_Leon_S_RT_Frei.csv,5,81.0,53.3,92.0,33.3,91.1,54475,0,none,92.0,111.5,10.1
2017-07-11_Seat_Leon_S_RT_Frei.csv,6,73.8,42.9,91.0,33.4,98.9,23302,0,none,91.0,99.5,0.0
2017-07-11_Seat_Leon_S_RT_Frei.csv,7,108.7,24.1,91.3,23.8,50.2,80602,1,brake,91.3,96.7,76.6
2017-07-11_Seat_Leon_S_RT_Frei.csv,8,73.1,43.9,93.0,33.8,96.7,53857,0,none,93.0,124.1,79.7
2017-07-11_Seat_Leon_S_RT_Frei.csv,9,60.0,40.4,80.0,33.5,95.4,13518,0,none,60.0,107.5,11.2
2017-07-11_Seat_Leon_S_RT_Frei.csv,10,71.2,45.9,91.0,30.6,90.7,68857,0,none,91.0,190.9,122.6
2017-07-11_Seat_Leon_S_RT_Frei.csv,11,101.5,32.5,91.0,27.6,77.7,58551,0,none,91.0,171.6,116.8
2017-07-11_Seat_Leon_S_RT_Frei.csv,12,81.1,53.0,93.4,31.8,98.5,87550,0,none,93.4,154.6,81.8
2017-07-11_Seat_Leon_S_RT_Frei.csv,13,60.0,42.5,80.0,30.3,90.2,25155,0,none,57.4,105.8,16.7
2017-07-11_Seat_Leon_S_RT_Frei.csv,14,103.8,31.9,90.0,28.9,74.1,19001,1,fluid,90.0,102.7,15.7
2017-07-12_Seat_Leon_RT_S_Normal.csv,0,101.4,31.1,90.7,28.3,79.8,21000,1,brake,90.7,121.2,122.0
2017-07-12_Seat_Leon_RT_S_Normal.csv,1,106.2,24.4,90.0,24.7,64.9,89864,1,fluid,90.0,109.9,80.5
2017-07-12_Seat_Leon_RT_S_Normal.csv,2,78.8,52.2,90.7,30.4,97.7,41285,0,none,90.7,118.7,30.4
2017-07-12_Seat_Leon_RT_S_Normal.csv,3,102.1,30.5,91.0,26.6,73.0,65734,1,brake,91.0,185.5,127.0
2017-07-12_Seat_Leon_RT_S_Normal.csv,4,105.2,32.8,91.0,28.3,83.8,11119,0,none,91.0,130.6,112.4
2017-07-12_Seat_Leon_RT_S_Normal.csv,5,75.8,53.9,91.0,31.4,99.2,65530,0,none,91.0,195.7,127.0
2017-07-12_Seat_Leon_RT_S_Normal.csv,6,101.6,29.3,90.0,26.3,80.9,52727,1,tire,90.0,113.9,54.1
2017-07-12_Seat_Leon_RT_S_Normal.csv,7,104.9,32.6,91.0,28.8,81.6,85814,0,none,91.0,151.8,105.4
2017-07-12_Seat_Leon_RT_S_Normal.csv,8,71.0,44.2,90.0,33.7,97.4,38119,0,none,90.0,99.2,9.1
2017-07-12_Seat_Leon_RT_S_Normal.csv,9,99.5,29.7,90.0,27.1,71.8,24983,0,none,90.0,119.1,35.6
2017-07-12_Seat_Leon_RT_S_Normal.csv,10,97.3,28.7,90.1,26.5,83.3,48374,1,brake,90.1,105.0,9.3
2017-07-12_Seat_Leon_RT_S_Normal.csv,11,74.3,52.1,90.0,30.7,97.6,88470,0,none,90.0,100.8,2.6
2017-07-12_Seat_Leon_RT_S_Normal.csv,12,60.0,50.9,80.0,31.6,86.2,54865,0,none,33.6,100.0,5.8
2017-07-12_Seat_Leon_RT_S_Normal.csv,13,60.0,38.0,80.0,31.4,92.0,48472,0,none,65.9,122.6,51.8
2017-07-12_Seat_Leon_RT_S_Normal.csv,14,72.6,40.2,90.1,32.8,93.0,34628,0,none,90.1,138.8,71.7
2017-07-12_Seat_Leon_S_RT_Normal.csv,0,75.8,53.6,90.0,30.2,85.2,52074,0,none,90.0,131.6,50.6
2017-07-12_Seat_Leon_S_RT_Normal.csv,1,77.0,41.3,90.0,30.7,90.4,88771,0,none,90.0,110.3,47.9
2017-07-12_Seat_Leon_S_RT_Normal.csv,2,60.0,49.9,80.0,30.9,94.2,54970,0,none,75.3,165.6,113.1
2017-07-12_Seat_Leon_S_RT_Normal.csv,3,77.1,41.4,91.0,32.6,92.7,51761,0,none,91.0,150.9,105.4
2017-07-12_Seat_Leon_S_RT_Normal.csv,4,99.0,28.5,90.0,26.2,81.2,82917,0,none,90.0,110.6,80.3
2017-07-12_Seat_Leon_S_RT_Normal.csv,5,111.4,23.5,91.0,20.7,58.0,26035,1,engine,91.0,134.3,67.9
2017-07-12_Seat_Leon_S_RT_Normal.csv,6,74.5,39.5,90.0,32.7,99.0,27514,0,none,90.0,111.9,32.0
2017-07-12_Seat_Leon_S_RT_Normal.csv,7,99.8,32.4,90.1,26.7,74.9,77895,1,tire,90.1,120.6,95.4
2017-07-12_Seat_Leon_S_RT_Normal.csv,8,74.1,48.9,91.0,33.0,92.0,30839,0,none,91.0,161.7,83.7
2017-07-12_Seat_Leon_S_RT_Normal.csv,9,60.0,50.2,80.0,32.2,99.9,71428,0,none,74.8,172.7,112.4
2017-07-12_Seat_Leon_S_RT_Normal.csv,10,108.9,23.0,91.0,21.8,49.8,13356,1,brake,91.0,144.4,83.5
2017-07-12_Seat_Leon_S_RT_Normal.csv,11,97.4,29.5,90.0,27.5,80.1,62203,1,fluid,90.0,112.3,26.8
2017-07-12_Seat_Leon_S_RT_Normal.csv,12,73.1,53.4,91.0,31.0,93.1,76215,0,none,91.0,120.5,32.2
2017-07-12_Seat_Leon_S_RT_Normal.csv,13,76.4,29.5,80.0,26.8,82.1,45586,0,none,64.0,125.0,44.1
2017-07-12_Seat_Leon_S_RT_Normal.csv,14,72.2,54.6,90.0,30.2,94.0,22928,0,none,90.0,113.4,81.3
2017-07-13_Seat_Leon_KA_KA_Normal.csv,0,60.0,34.1,80.0,28.9,80.3,33158,1,fluid,41.6,95.6,10.1
2017-07-13_Seat_Leon_KA_KA_Normal.csv,1,111.8,19.0,92.9,22.8,60.4,24077,1,engine,92.9,104.5,14.3
2017-07-13_Seat_Leon_KA_KA_Normal.csv,2,60.0,34.7,80.0,27.3,80.0,41664,0,none,41.3,105.6,14.4
2017-07-13_Seat_Leon_KA_KA_Normal.csv,3,60.0,33.4,80.0,26.3,78.6,37313,1,tire,42.3,85.5,0.8
2017-07-13_Seat_Leon_KA_KA_Normal.csv,4,71.1,52.5,85.4,31.0,95.5,15154,0,none,85.4,126.6,90.0
2017-07-13_Seat_Leon_KA_KA_Normal.csv,5,72.4,41.7,91.0,31.1,96.2,42870,0,none,91.0,106.9,1.1
2017-07-13_Seat_Leon_KA_KA_Normal.csv,6,76.5,49.8,91.3,30.6,99.2,12415,0,none,91.3,110.6,16.7
2017-07-13_Seat_Leon_KA_KA_Normal.csv,7,63.7,16.0,80.0,20.9,60.1,25200,1,fluid,45.0,101.7,35.8
2017-07-13_Seat_Leon_KA_KA_Normal.csv,8,60.0,49.7,80.0,33.9,87.1,32571,0,none,43.9,99.0,0.0
2017-07-13_Seat_Leon_KA_KA_Normal.csv,9,72.8,41.2,91.9,32.3,95.1,55649,0,none,91.9,108.5,19.5
2017-07-13_Seat_Leon_KA_KA_Normal.csv,10,98.4,31.5,89.0,27.1,82.6,41517,1,fluid,89.0,144.4,27.4
2017-07-13_Seat_Leon_KA_KA_Normal.csv,11,103.2,28.7,89.0,27.3,71.9,27219,1,brake,89.0,165.2,49.6
2017-07-13_Seat_Leon_KA_KA_Normal.csv,12,80.1,49.2,91.0,30.5,86.5,82189,0,none,91.0,113.8,19.9
2017-07-13_Seat_Leon_KA_KA_Normal.csv,13,79.9,52.2,91.1,32.7,89.2,48234,0,none,91.1,104.1,0.9
2017-07-13_Seat_Leon_KA_KA_Normal.csv,14,60.0,53.3,80.0,30.2,91.9,38237,0,none,58.4,102.0,0.0
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,0,74.6,42.9,90.5,33.4,91.8,46232,0,none,90.5,125.4,114.0
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,1,103.6,29.9,91.0,26.2,83.8,55232,0,none,91.0,208.6,192.4
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,2,69.2,43.6,89.0,32.4,85.7,65420,0,none,89.0,90.2,0.4
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,3,80.5,44.3,91.0,32.6,96.4,81663,0,none,91.0,202.4,102.6
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,4,71.4,39.1,90.0,33.2,88.1,43675,0,none,90.0,136.7,125.4
