vehicle_age,mileage,days_since_last_service,oil_pressure,engine_temperature,tire_pressure,brake_fluid_level,brake_temperature,driving_pattern,days_until_failure,failure_probability,component_at_risk
3,32771,155,47.2,107.5,31.2,87.1,85.7,mixed,4,85.7,engine
1,13262,336,47.1,90.2,34.9,96.6,80.6,mixed,67,10.6,none
3,46816,287,52.6,89.8,32.7,88.9,88.9,city,85,11.4,none
4,47148,177,26.5,98.9,30.8,99.5,73.9,mixed,1,94.8,oil_system
5,38321,134,54.6,95.0,34.0,92.6,78.2,city,158,1.2,none
5,21135,206,52.2,95.1,32.8,99.3,72.8,city,131,20.6,none
6,41368,334,45.1,101.2,31.5,97.4,83.0,highway,13,72.8,engine
6,34774,281,38.6,86.7,31.2,61.9,79.3,highway,9,72.3,brakes
3,19045,288,44.0,96.0,34.6,91.2,88.8,highway,63,12.5,none
8,11429,123,39.3,103.0,31.4,87.8,75.8,mixed,23,46.0,engine
3,46093,214,40.6,97.9,33.1,99.2,82.0,highway,119,20.6,none
8,36495,104,50.7,98.1,30.6,72.5,97.6,highway,18,52.8,brakes
8,71874,39,32.9,91.6,32.2,90.3,75.4,mixed,8,63.4,oil_system
4,43762,167,54.9,100.9,32.8,85.3,87.3,highway,23,25.8,engine
10,32207,279,43.7,107.1,30.7,93.9,85.3,city,3,95.1,engine
6,41147,44,53.5,87.8,33.6,94.5,70.9,mixed,79,14.0,none
7,11535,49,44.4,92.9,30.7,90.0,82.5,mixed,113,20.8,none
10,32411,3,48.5,104.6,30.3,94.3,86.7,city,9,67.4,engine
9,29089,205,54.0,96.3,30.6,90.9,79.6,mixed,73,18.6,none
1,15921,48,49.7,87.6,23.4,97.8,84.8,city,5,96.8,tires
1,11458,212,48.2,93.2,32.8,97.5,87.2,city,146,11.5,none
3,8797,30,43.7,97.1,34.9,84.3,99.5,city,14,66.9,brakes
8,8988,157,41.8,89.8,34.7,88.3,72.2,city,147,15.3,none
8,20094,38,40.5,93.2,32.3,92.9,80.3,mixed,94,15.5,none
4,41940,211,43.1,99.7,34.9,86.9,77.3,highway,141,19.7,none
4,37850,230,52.2,99.4,31.7,89.1,85.1,highway,135,11.5,none
1,29901,279,31.4,95.3,32.6,86.2,86.7,highway,9,72.2,oil_system
9,69739,31,40.0,97.4,33.9,92.0,72.0,city,15,30.2,general_service
6,76725,82,41.7,92.4,31.3,65.7,73.0,city,12,70.2,brakes
10,42825,84,44.7,92.8,33.4,55.1,76.1,mixed,8,57.2,brakes
5,13294,169,51.2,88.3,23.2,99.1,74.4,city,3,87.7,tires
10,31283,232,40.3,96.9,20.7,96.9,80.4,city,5,82.4,tires
9,9296,257,54.6,110.2,30.8,89.8,79.8,highway,6,85.6,engine
5,7398,333,49.5,104.0,33.5,85.2,85.1,highway,10,68.8,engine
8,7567,312,52.4,99.0,30.0,75.5,96.1,highway,13,72.3,brakes
8,25735,175,48.9,104.8,32.7,94.9,71.7,city,12,53.4,engine
1,24856,37,50.5,88.2,34.8,86.7,70.3,mixed,77,11.0,none
7,47924,183,53.1,110.0,30.3,92.3,79.7,mixed,1,95.7,engine
6,23796,64,52.8,87.3,32.5,95.4,83.3,mixed,31,15.1,none
2,25262,141,42.2,93.2,31.5,61.0,82.6,city,12,59.8,brakes
7,46505,158,43.1,89.5,32.3,96.5,87.3,city,67,1.0,none
3,9182,259,42.0,99.7,30.4,83.0,96.2,highway,21,36.3,brakes
5,33136,222,38.1,99.0,28.2,90.0,71.1,city,27,42.1,tires
3,39120,53,45.7,101.2,31.9,96.1,74.7,city,15,50.0,engine
8,87375,328,46.0,90.0,31.9,89.6,80.2,city,13,77.6,general_service
2,26698,173,48.3,91.5,30.3,62.4,107.0,mixed,5,96.4,brakes
5,33103,202,40.0,100.1,30.4,88.4,76.4,mixed,17,34.8,engine
5,32830,32,51.4,94.4,34.0,94.9,92.4,highway,14,70.7,brakes
3,35691,12,51.8,99.5,30.1,86.9,96.6,highway,9,76.3,brakes
6,7251,81,51.6,102.2,31.6,93.0,85.1,highway,9,70.4,engine
5,36373,23,39.7,106.1,31.4,96.3,82.8,city,5,82.0,engine
2,37792,354,30.6,97.9,31.8,98.0,78.5,city,11,65.4,oil_system
4,42751,187,50.8,93.9,34.1,60.8,73.8,city,14,68.6,brakes
10,55811,121,43.7,95.4,30.8,95.4,100.0,mixed,11,63.4,brakes
4,23481,235,42.8,106.7,30.6,87.3,89.3,city,3,99.0,engine
4,8841,226,47.7,96.8,33.1,80.4,96.0,city,22,46.3,brakes
4,10208,123,53.5,85.1,28.8,91.6,88.7,highway,19,47.1,tires
2,73409,21,29.5,98.4,33.1,87.5,78.8,city,9,61.0,oil_system
5,25583,331,49.0,92.0,33.1,56.2,106.5,mixed,6,86.7,brakes
3,44364,17,43.3,103.0,33.0,97.2,88.1,mixed,17,30.6,engine
3,44437,87,54.7,86.0,30.1,89.5,88.3,highway,85,15.5,none
3,35631,185,46.4,109.2,32.9,88.6,85.8,mixed,2,77.9,engine
2,37104,0,51.2,94.0,34.9,94.6,70.4,city,173,13.0,none
6,48193,358,48.5,109.9,31.9,87.7,78.3,mixed,7,82.1,engine
3,39821,92,43.6,90.4,34.0,95.4,83.8,highway,31,11.2,none
9,31791,254,47.6,95.6,31.4,95.1,85.4,mixed,139,20.9,none
3,20888,140,42.1,104.4,32.0,88.0,75.9,city,24,44.0,engine
4,20545,223,38.0,97.1,31.8,99.6,70.7,mixed,127,2.1,none
1,89140,54,41.0,88.9,34.9,95.1,88.9,city,11,59.5,general_service
5,23226,155,47.9,87.2,33.9,86.7,77.7,mixed,87,12.1,none
5,28613,327,35.7,90.2,33.6,95.7,81.4,city,28,32.5,oil_system
1,33797,230,23.8,85.6,33.5,86.3,89.6,city,7,96.6,oil_system
7,25286,122,39.7,106.1,33.8,99.9,81.3,city,5,89.6,engine
10,30602,173,40.2,90.2,31.8,90.7,97.7,city,13,74.2,brakes
9,9942,46,38.7,99.4,33.8,97.7,81.7,highway,166,13.4,none
9,52063,204,38.6,87.9,34.9,85.9,89.2,highway,27,49.1,general_service
4,20450,278,45.7,103.0,31.0,91.3,82.7,highway,14,56.0,engine
4,47534,102,33.9,97.1,32.7,96.9,87.8,mixed,8,61.8,oil_system
4,48717,339,48.7,97.9,30.4,60.5,103.4,highway,4,86.5,brakes
3,24287,300,54.9,114.0,30.3,85.2,85.8,highway,7,95.5,engine
9,5585,254,40.0,85.8,30.3,59.0,82.7,city,14,74.4,brakes
8,27282,252,38.5,97.8,31.6,97.1,85.1,highway,51,5.2,none
5,93796,144,41.1,99.7,34.6,90.3,79.7,city,14,76.9,general_service
5,43440,329,51.3,89.5,32.3,78.0,93.1,highway,11,57.0,brakes
9,23388,253,38.1,91.8,32.7,94.2,74.7,highway,102,11.6,none
6,48316,222,40.0,94.3,31.3,79.4,93.4,highway,10,50.7,brakes
2,13750,346,50.1,87.8,31.4,95.9,87.1,mixed,81,17.9,none
2,9718,337,45.0,90.2,33.2,92.4,75.7,city,103,3.7,none
2,23831,155,44.4,97.2,31.3,74.0,97.5,mixed,19,27.1,brakes
5,13814,361,53.9,89.8,21.8,98.5,77.4,highway,7,94.2,tires
4,50283,171,39.1,94.4,33.1,92.9,70.6,highway,29,29.2,general_service
8,28163,36,49.8,93.7,24.5,90.5,83.2,highway,4,83.8,tires
1,5078,150,30.8,87.2,33.9,97.7,83.6,city,9,76.1,oil_system
4,69589,36,40.4,97.2,32.6,97.9,81.9,mixed,18,29.8,general_service
4,7823,87,18.0,95.3,30.3,93.1,86.3,city,2,92.4,oil_system
4,41310,196,45.6,96.0,34.8,83.2,91.6,highway,14,54.4,brakes
4,10265,308,50.1,90.8,33.5,51.8,102.6,mixed,6,95.2,brakes
10,26145,7,20.3,99.9,32.9,95.8,72.4,city,5,75.4,oil_system
3,26410,199,39.9,96.6,30.3,65.1,112.0,city,1,76.1,brakes
8,53984,191,52.3,93.8,32.0,91.8,78.4,city,22,31.4,general_service
5,17690,158,44.5,95.9,22.8,98.7,87.9,mixed,1,86.0,tires
1,45598,323,54.9,101.3,31.0,89.8,81.5,highway,14,54.8,engine
10,10963,19,50.9,90.8,32.9,92.7,88.5,city,127,13.0,none
1,23955,111,51.0,93.7,33.4,99.5,79.3,highway,98,9.3,none
5,22545,161,46.0,108.4,30.3,94.9,79.2,highway,2,97.7,engine
5,70166,131,50.2,85.2,32.2,94.7,76.0,mixed,27,47.6,general_service
6,8736,32,49.9,101.3,34.1,95.2,74.7,city,23,54.5,engine
10,41559,317,48.8,104.2,34.1,98.9,82.2,city,13,75.2,engine
8,94650,279,41.4,90.2,34.0,94.4,70.8,city,10,62.8,general_service
9,44373,252,43.3,97.3,20.4,88.6,73.0,mixed,6,89.8,tires
1,28465,0,43.2,93.0,30.9,75.5,91.0,city,20,40.0,brakes
2,22552,160,43.9,91.4,34.0,97.5,88.7,highway,56,3.0,none
5,88884,271,54.7,97.6,34.8,97.6,83.4,mixed,14,73.4,general_service
7,18670,361,41.3,87.0,34.8,85.5,73.8,city,128,18.4,none
8,60654,106,43.4,97.0,32.1,98.1,97.9,mixed,13,58.9,brakes
2,51144,92,53.8,89.9,32.0,89.8,83.4,mixed,26,35.6,general_service
7,28806,29,48.4,102.8,33.4,99.6,85.8,mixed,10,55.1,engine
6,14615,253,53.4,111.7,30.0,98.3,86.3,mixed,6,76.5,engine
1,43994,41,46.6,96.5,33.8,90.4,87.8,city,94,20.2,none
1,82305,172,47.6,88.9,30.7,94.9,77.2,mixed,14,58.4,general_service
3,9874,111,44.9,91.5,27.4,87.4,83.9,city,23,35.6,tires
10,71059,239,42.8,86.5,32.6,99.8,86.4,city,25,36.0,general_service
1,28699,202,45.8,87.6,31.4,98.1,86.4,highway,96,8.7,none
3,14523,57,29.3,93.4,34.8,97.8,89.9,city,9,62.5,oil_system
6,10253,104,54.1,97.5,33.0,87.0,74.0,highway,80,3.1,none
9,65940,175,38.6,96.2,28.6,89.9,73.9,city,22,32.7,tires
3,37354,297,54.7,86.6,26.4,99.9,89.4,highway,21,43.5,tires
10,11302,307,49.6,85.5,30.8,92.3,72.8,highway,46,7.9,none
7,8514,349,50.4,104.9,34.3,98.1,86.9,mixed,12,53.4,engine
3,22684,136,41.5,110.4,32.8,88.4,88.1,highway,5,86.8,engine
2,20219,154,47.2,95.0,34.2,97.2,74.2,highway,169,19.1,none
7,74434,213,34.8,97.7,30.8,87.4,78.9,mixed,24,52.8,oil_system
10,56751,328,55.0,89.1,33.5,55.4,82.7,city,14,62.0,brakes
6,46359,238,41.6,101.3,30.9,99.4,87.9,highway,22,42.6,engine
6,30236,237,53.5,94.1,30.2,94.7,73.3,highway,107,18.8,none
9,12269,136,45.4,91.9,34.2,67.6,110.9,city,7,91.6,brakes
8,5983,364,41.3,85.5,23.8,87.1,79.8,mixed,3,79.4,tires
1,22798,29,52.8,97.6,33.8,94.1,86.5,city,141,1.6,none
6,46827,153,53.5,101.0,30.1,86.4,81.9,city,17,37.7,engine
1,21803,176,50.8,88.3,32.9,83.0,94.5,highway,12,58.7,brakes
9,19161,281,53.0,99.9,27.2,93.2,72.1,mixed,26,39.4,tires
7,28960,258,44.3,99.8,32.8,51.8,102.8,highway,7,88.2,brakes
2,26194,356,42.7,91.4,34.5,67.5,109.9,city,3,82.1,brakes
6,12639,48,34.8,92.8,32.5,89.2,84.4,mixed,19,46.8,oil_system
1,53689,221,52.8,95.6,31.4,99.7,75.2,city,21,35.0,general_service
1,86802,319,41.3,89.0,33.0,97.7,77.3,highway,10,56.1,general_service
1,66447,316,50.0,86.6,33.7,85.4,73.1,city,23,52.8,general_service
8,25824,158,38.2,98.8,32.6,61.9,103.8,highway,3,83.5,brakes
2,17191,315,40.5,87.1,32.2,54.8,108.4,mixed,5,76.2,brakes
1,32658,193,37.0,99.3,31.0,92.8,77.8,highway,19,40.3,oil_system
3,41614,119,54.0,86.5,24.7,91.4,89.9,highway,7,80.6,tires
7,23788,146,42.4,102.3,35.0,93.7,79.2,city,28,43.7,engine
2,95380,336,51.2,93.8,31.7,93.8,77.3,city,8,76.8,general_service
9,42792,361,45.8,98.7,31.3,99.5,82.5,highway,60,2.4,none
5,27559,117,51.2,99.2,26.9,90.6,88.8,city,22,49.5,tires
10,7615,364,44.7,87.4,34.7,61.2,110.5,mixed,2,79.3,brakes
2,46747,303,38.1,97.7,27.3,91.7,72.6,mixed,22,52.4,tires
3,7421,3,39.7,86.1,33.5,95.1,75.2,city,133,3.5,none
2,29557,222,52.3,86.1,28.1,87.1,89.3,highway,23,48.0,tires
4,7468,32,44.9,101.9,33.2,93.9,80.7,mixed,8,72.6,engine
1,40746,221,40.1,85.4,34.4,88.4,80.3,mixed,171,20.0,none
10,29826,275,38.2,96.9,34.3,73.7,93.4,highway,28,30.8,brakes
1,17856,73,39.2,114.5,30.9,97.1,74.9,highway,7,88.9,engine
10,66724,84,51.7,85.4,33.3,86.5,91.4,city,10,53.5,brakes
7,29826,136,53.8,94.2,33.8,80.7,95.6,highway,29,40.9,brakes
4,6166,106,51.3,93.4,30.9,90.5,82.1,city,48,21.2,none
4,7940,255,26.8,92.3,30.3,92.6,88.3,highway,5,85.7,oil_system
4,22607,142,40.2,95.2,34.9,66.1,102.9,city,7,97.8,brakes
6,59267,50,49.2,98.1,33.3,62.9,72.1,mixed,13,76.7,brakes
5,79056,188,54.0,103.1,34.3,98.0,74.2,city,14,77.7,engine
9,78190,49,29.0,92.3,33.5,98.3,83.0,city,9,76.8,oil_system
1,13947,246,47.2,102.7,30.5,87.5,83.2,mixed,17,30.2,engine
3,50777,291,47.1,90.4,28.6,94.0,71.9,city,16,51.2,tires
5,7657,211,43.7,101.9,34.5,87.3,82.3,highway,8,68.7,engine
7,20360,353,45.8,93.9,32.0,87.5,80.5,mixed,173,4.9,none
3,53172,250,53.1,90.2,30.9,60.1,74.3,highway,11,54.7,brakes
10,54685,24,33.9,97.8,34.1,99.7,85.2,mixed,9,63.3,oil_system
2,27905,314,41.4,93.3,32.2,80.1,95.5,highway,26,25.9,brakes
9,32159,315,30.0,87.6,33.0,86.8,74.6,city,8,56.7,oil_system
5,40721,292,47.5,96.5,23.8,94.7,71.2,city,2,94.9,tires
8,36282,149,47.9,87.7,33.4,92.2,76.5,city,180,4.2,none
4,34380,18,35.6,93.3,31.3,95.4,82.7,highway,28,39.5,oil_system
4,5530,206,55.0,95.3,33.3,94.3,89.6,mixed,159,21.7,none
8,42859,126,54.4,98.5,24.1,91.3,87.3,city,1,76.2,tires
10,83089,329,53.2,93.5,32.7,98.3,75.5,highway,9,52.1,general_service
1,7386,3,47.2,98.2,32.1,86.8,82.6,mixed,84,15.0,none
6,43599,4,43.1,87.6,22.1,98.2,73.4,city,5,79.4,tires
2,26089,1,50.1,96.6,33.9,98.5,71.4,mixed,61,7.4,none
2,44798,296,53.1,92.9,33.0,72.1,97.1,mixed,19,49.8,brakes
6,25580,231,39.9,107.0,32.2,96.6,72.7,highway,2,76.8,engine
8,22685,297,41.0,91.5,35.0,89.9,76.0,city,34,18.3,none
4,18179,222,36.4,91.2,35.0,95.9,74.1,mixed,29,52.5,oil_system
7,25800,124,41.8,102.3,34.0,90.2,86.0,city,17,52.7,engine
5,40439,251,19.2,92.9,32.1,96.3,78.0,city,7,97.0,oil_system
5,40942,206,33.8,94.8,31.2,94.9,73.3,highway,12,62.0,oil_system
2,56171,206,42.4,98.8,34.1,97.8,77.0,highway,26,46.3,general_service
2,35334,79,42.0,87.4,33.0,92.0,84.1,mixed,85,22.8,none
10,23085,8,19.9,89.7,33.9,99.8,70.1,mixed,2,98.8,oil_system
3,86299,57,46.2,85.0,34.4,92.1,71.7,highway,13,66.6,general_service
6,37804,321,52.6,101.9,31.4,86.2,73.2,mixed,20,27.2,engine
4,33723,158,49.8,103.5,34.6,91.2,84.1,mixed,11,60.8,engine
2,72624,125,45.0,90.9,31.0,90.2,88.0,highway,26,37.5,general_service
10,36054,205,44.8,87.0,30.0,66.3,110.1,city,5,97.6,brakes
9,70577,21,51.2,89.9,34.0,92.6,87.8,highway,29,41.3,general_service
3,19453,278,23.2,92.2,32.9,99.3,77.4,city,2,77.1,oil_system
3,97187,318,41.4,93.3,30.7,86.4,72.8,highway,10,57.2,general_service
7,17653,287,49.1,97.3,33.4,95.5,81.5,city,131,23.5,none
8,60838,348,53.8,97.4,27.1,96.8,73.1,city,18,34.1,tires
6,90017,125,54.4,86.5,31.5,91.6,71.2,highway,13,63.5,general_service
9,36800,278,46.0,103.7,32.0,94.3,73.8,mixed,20,43.5,engine
1,66666,15,49.3,85.3,31.0,92.1,74.0,highway,30,30.5,general_service
5,49659,23,39.6,92.4,24.7,87.2,88.6,city,1,97.3,tires
10,11434,106,49.4,99.7,34.6,85.1,76.9,highway,31,6.7,none
3,44650,273,53.1,88.6,22.9,87.6,88.2,city,6,94.3,tires
10,39201,329,48.5,95.4,21.8,87.3,85.1,highway,3,98.8,tires
2,27127,20,19.0,98.3,31.1,99.6,76.9,city,7,84.0,oil_system
3,66534,262,42.9,98.4,27.6,89.5,79.8,city,18,52.0,tires
3,30002,137,39.4,96.7,33.6,69.0,82.8,highway,13,51.0,brakes
4,28388,238,48.7,99.1,33.5,90.0,75.7,city,129,13.1,none
7,43316,185,48.8,103.9,34.2,96.3,75.8,mixed,13,67.1,engine
3,40398,351,50.9,90.8,23.8,86.3,89.1,highway,2,89.6,tires
9,13624,297,43.4,90.3,33.1,91.6,89.6,city,43,8.3,none
3,73869,86,47.7,96.8,34.1,66.7,86.9,highway,12,66.3,brakes
4,77798,133,45.3,95.1,34.5,91.7,87.4,city,18,53.8,general_service
2,8428,229,50.8,91.7,32.9,83.9,95.8,highway,14,66.8,brakes
3,7228,92,50.4,96.6,26.4,95.8,82.4,highway,18,34.2,tires
4,46519,259,51.6,113.9,33.9,90.5,87.1,mixed,1,85.2,engine
3,31081,165,23.0,96.4,32.7,95.5,88.2,city,1,79.6,oil_system
9,39234,242,49.0,104.9,32.6,90.6,81.8,mixed,10,50.4,engine
8,11767,248,25.3,99.0,32.2,97.1,81.9,city,6,86.5,oil_system
2,40951,156,44.0,86.5,32.7,91.1,85.0,city,97,4.4,none
8,78007,80,39.5,96.4,34.3,96.9,91.1,highway,10,75.7,brakes
2,15667,72,32.9,96.8,34.6,90.8,78.9,city,12,58.0,oil_system
8,15694,363,47.1,91.3,30.4,87.6,87.6,mixed,142,12.7,none
10,37229,335,54.9,90.6,31.5,97.6,78.6,highway,159,12.2,none
2,74912,163,54.9,102.8,31.0,91.9,73.2,highway,9,66.6,engine
1,32599,334,53.8,103.6,32.9,97.8,80.7,highway,20,54.8,engine
10,34894,243,41.1,89.7,30.8,98.4,83.0,mixed,118,4.6,none
3,48433,32,51.3,109.3,31.5,97.4,71.9,mixed,1,79.2,engine
2,48205,63,48.4,88.9,23.3,96.5,87.2,highway,6,81.1,tires
7,14995,365,54.2,88.4,26.7,95.8,77.9,mixed,30,39.2,tires
6,16188,28,50.7,86.2,33.6,85.8,89.8,city,46,8.6,none
1,39371,285,43.9,94.6,21.9,85.7,81.1,mixed,6,96.9,tires
9,8235,255,54.7,110.7,32.6,93.5,88.9,city,4,97.1,engine
6,5052,131,44.3,98.6,33.7,87.3,73.2,highway,85,21.9,none
2,13830,132,42.9,86.6,31.7,57.4,70.0,mixed,14,71.4,brakes
6,23421,362,53.7,88.8,21.0,99.2,78.7,mixed,6,82.1,tires
3,27561,247,42.2,98.9,32.0,95.3,75.3,city,138,4.6,none
1,24323,204,41.5,93.3,32.4,60.6,75.3,city,10,78.2,brakes
4,47872,58,39.8,98.1,33.9,92.6,70.5,city,120,1.0,none
5,61993,25,36.0,97.9,32.2,97.9,75.1,highway,19,30.0,oil_system
4,39302,209,54.0,85.9,33.3,92.7,87.0,city,62,17.8,none
8,63986,234,34.7,91.3,30.2,91.4,74.0,mixed,29,31.2,oil_system
9,43237,144,47.5,86.2,34.5,87.4,79.0,mixed,80,22.8,none
8,72600,278,54.5,97.2,34.0,99.8,81.0,city,27,36.3,general_service
1,43334,112,50.3,93.0,30.8,74.9,98.0,highway,18,49.4,brakes
3,53663,230,51.5,98.4,32.2,99.5,75.7,mixed,25,25.2,general_service
3,75859,78,38.1,88.8,33.7,87.1,71.8,mixed,27,41.7,general_service
9,90168,311,39.5,94.2,33.4,91.7,81.4,highway,13,54.0,general_service
2,36350,329,43.7,102.3,33.1,93.5,76.6,highway,20,44.9,engine
7,24543,272,38.4,94.9,30.0,93.4,86.7,highway,122,10.5,none
1,61891,210,47.3,99.8,31.0,85.4,87.7,mixed,16,41.1,general_service
6,46752,325,45.8,96.6,30.1,93.0,77.1,highway,49,20.9,none
2,51769,281,51.3,85.2,33.1,93.9,84.7,mixed,24,47.3,general_service
6,38154,190,39.3,87.9,33.0,56.5,81.4,city,13,58.4,brakes
3,29101,304,44.4,98.2,34.2,96.0,74.8,mixed,111,9.9,none
3,30211,37,20.3,97.7,31.0,91.4,82.8,highway,3,98.7,oil_system
8,58897,6,28.1,91.5,34.1,95.6,82.0,highway,13,69.1,oil_system
9,14182,339,46.1,99.6,34.1,87.9,76.4,mixed,83,7.6,none
9,11480,199,39.0,104.9,32.3,97.6,75.9,mixed,21,41.2,engine
6,37001,68,21.8,90.9,30.4,96.0,86.4,highway,7,82.9,oil_system
3,19051,209,38.3,85.4,35.0,89.1,88.6,highway,116,19.5,none
4,29371,38,42.5,85.5,34.1,92.0,91.3,city,8,51.2,brakes
5,8750,257,27.0,95.6,31.4,91.0,82.8,city,5,81.6,oil_system
6,18714,111,52.0,92.6,32.3,93.2,70.5,city,74,23.0,none
7,8759,85,48.5,91.5,33.2,67.3,111.2,mixed,4,83.4,brakes
6,6662,20,50.5,94.6,33.8,98.7,97.7,city,10,74.0,brakes
4,26965,193,47.7,98.9,31.3,92.2,73.7,highway,56,20.6,none
1,10984,246,50.2,94.7,34.6,99.1,86.8,mixed,109,14.8,none
7,27682,78,51.3,93.9,33.9,85.5,83.6,city,41,20.9,none
10,36567,224,52.4,98.5,31.3,86.3,83.0,highway,79,15.4,none
10,21355,207,44.5,90.7,30.9,85.1,76.1,city,60,23.4,none
9,95831,330,51.0,91.7,32.8,91.7,82.7,city,11,57.6,general_service
