brake_temp,brake_fluid,oil_pressure,engine_temp,tire_pressure,mileage,is_anomaly
113.1,55.8,18.8,111.3,20.2,81998,1
83.0,94.2,42.6,85.1,33.2,44831,0
107.6,62.2,19.8,114.1,22.3,94907,1
78.9,86.6,39.8,86.4,30.9,22324,0
87.8,89.2,38.6,88.3,31.7,35610,0
85.1,97.2,53.7,97.4,32.1,45156,0
75.7,94.0,45.9,92.3,34.0,48645,0
114.1,57.0,22.2,113.5,24.0,84664,1
72.7,95.6,45.4,99.3,31.8,39547,0
71.8,87.1,40.3,98.2,34.1,43587,0
75.3,97.2,49.2,97.9,31.3,49457,0
71.0,86.3,40.2,91.2,32.1,48451,0
79.8,85.7,47.7,97.2,32.4,14528,0
89.4,97.8,42.4,97.4,34.8,42337,0
84.3,96.7,48.7,91.8,33.8,36532,0
101.5,64.8,24.9,111.1,21.6,95954,1
89.9,89.1,44.4,89.9,33.0,31123,0
79.9,98.8,40.9,98.5,32.7,12686,0
77.8,89.9,43.1,97.0,34.8,29175,0
75.4,87.2,39.0,96.0,32.3,22262,0
109.5,60.4,23.4,107.7,21.8,95388,1
89.9,96.2,53.9,94.2,30.6,22811,0
70.6,90.5,47.1,94.9,32.1,49046,0
87.5,88.0,52.2,96.1,33.0,29547,0
108.9,61.7,18.8,113.7,22.9,94005,1
85.9,95.1,53.8,91.6,30.9,12925,0
72.5,98.0,49.7,88.3,33.1,44780,0
72.2,94.1,43.4,96.3,34.8,6162,0
78.7,90.7,47.6,86.3,30.8,13405,0
72.0,87.5,41.0,98.3,32.5,32808,0
81.1,94.9,38.1,93.3,34.3,38279,0
73.9,88.2,39.3,95.4,31.4,42427,0
86.5,96.2,48.9,86.6,33.1,49185,0
72.0,91.5,54.8,89.5,30.8,10913,0
103.8,65.2,22.2,106.3,23.3,85450,1
75.4,86.8,46.0,91.9,33.1,30607,0
71.8,87.0,52.3,96.1,32.3,43188,0
112.4,57.3,24.7,107.4,22.3,94167,1
70.1,92.6,38.6,88.6,30.4,47846,0
103.9,60.4,20.0,106.1,22.7,81439,1
81.0,98.1,42.3,86.4,33.4,42718,0
85.3,88.6,53.9,97.4,33.3,47931,0
114.6,68.3,18.9,107.6,23.9,98314,1
81.9,87.1,41.2,96.9,30.9,13375,0
74.8,96.5,45.2,87.3,34.1,34896,0
84.1,91.1,38.5,87.7,33.6,39472,0
74.0,96.3,40.3,86.0,32.1,23627,0
110.9,60.7,23.2,115.5,23.3,84945,1
112.7,64.5,22.0,108.9,24.8,94353,1
85.1,91.2,41.8,97.4,34.8,49145,0
84.7,92.9,42.4,88.6,34.3,23448,0
82.4,89.1,39.5,90.8,32.6,42550,0
74.1,91.4,45.7,86.7,31.4,5795,0
71.2,93.7,53.2,98.4,33.2,29250,0
107.2,68.4,21.0,112.1,22.2,85224,1
81.1,96.9,39.5,88.4,33.5,19098,0
102.8,62.1,18.9,116.4,20.8,96405,1
87.2,90.1,46.2,90.7,33.5,49116,0
88.1,92.5,52.0,87.7,33.7,13214,0
81.9,98.2,45.1,93.3,32.4,39709,0
83.2,93.6,52.8,96.2,32.1,32125,0
73.3,98.7,51.1,90.3,30.2,7370,0
87.4,91.6,40.0,95.2,31.0,37995,0
80.3,92.2,54.6,88.2,33.5,22961,0
103.9,66.5,19.1,113.4,23.8,85403,1
114.1,63.9,20.9,116.6,24.3,94733,1
86.6,98.0,40.0,95.9,34.7,10970,0
70.7,85.3,46.1,97.3,30.4,32880,0
76.9,86.9,45.5,93.6,33.8,31300,0
88.0,88.8,43.2,93.6,31.7,15237,0
86.1,90.9,42.4,96.4,30.4,31545,0
89.0,95.7,53.7,95.3,34.6,5231,0
70.4,88.8,52.0,93.7,33.1,29972,0
76.4,94.5,46.1,99.2,30.0,45226,0
80.6,93.5,52.7,86.6,30.7,30871,0
84.1,88.0,53.1,93.2,30.4,18579,0
85.7,95.0,49.2,87.3,31.5,28169,0
87.1,91.6,51.2,94.4,34.7,21450,0
77.9,87.2,54.3,88.4,34.6,15021,0
81.5,93.1,40.7,87.6,33.3,23159,0
71.6,87.2,50.3,92.6,34.0,28965,0
74.9,90.3,42.3,93.5,30.8,7905,0
82.7,90.7,40.2,90.9,31.6,11830,0
86.3,91.7,41.7,87.4,30.4,37000,0
75.4,92.3,45.2,97.0,33.9,7924,0
86.9,93.4,48.2,91.8,33.8,31467,0
79.3,91.4,46.1,90.3,32.2,32786,0
75.8,89.6,40.3,90.7,33.4,6062,0
108.4,61.1,18.1,114.9,22.6,86423,1
84.1,90.3,43.8,95.6,32.4,21418,0
78.8,90.7,42.7,93.0,30.7,9314,0
81.7,99.8,40.9,86.9,31.5,49207,0
102.3,68.0,18.6,111.8,20.3,92153,1
74.5,98.5,39.1,93.2,31.4,11067,0
82.7,87.0,49.1,94.3,30.6,20344,0
70.7,98.6,45.2,94.5,30.2,46204,0
85.9,98.9,48.8,97.3,30.5,25336,0
81.5,99.7,54.5,89.7,30.4,16720,0
88.3,87.3,51.3,90.5,32.3,34044,0
72.5,91.9,50.8,85.7,32.6,8025,0
73.5,86.1,42.2,95.0,31.3,24536,0
76.5,87.3,51.0,88.7,33.0,46730,0
86.2,89.4,39.0,99.0,33.4,26213,0
74.1,88.1,52.4,95.3,30.1,35046,0
74.2,86.7,48.2,88.2,30.8,29707,0
107.8,62.9,25.1,112.5,23.4,97669,1
75.8,88.3,44.3,88.7,34.5,24968,0
76.7,86.6,45.1,92.3,34.9,12962,0
71.8,90.5,38.6,90.1,33.7,23470,0
75.1,85.6,54.3,86.3,30.0,35366,0
70.2,99.1,54.6,97.1,30.8,31816,0
101.6,55.2,24.3,114.0,23.8,96728,1
87.4,93.7,44.5,98.1,32.7,39844,0
70.4,97.5,43.9,87.3,30.1,15195,0
86.6,96.8,48.3,87.5,32.1,48494,0
101.6,63.1,20.6,117.4,21.7,97863,1
77.1,87.2,45.3,93.3,31.3,24178,0
76.9,94.9,46.4,95.6,33.5,20132,0
76.1,85.0,38.1,93.1,34.8,24551,0
72.8,93.7,39.2,91.6,32.8,9886,0
82.4,92.6,49.2,94.2,34.6,13365,0
89.3,97.8,38.8,98.8,31.4,18991,0
78.7,99.0,44.8,87.3,30.7,25863,0
71.2,94.8,38.2,98.0,33.3,30611,0
73.6,91.2,49.1,99.8,34.2,22030,0
71.8,96.3,49.6,85.0,32.8,25725,0
104.2,59.5,18.9,106.2,22.6,90299,1
88.8,85.7,46.3,89.5,31.1,12359,0
111.3,55.8,18.5,112.9,23.4,82578,1
87.4,95.4,44.6,93.4,33.6,28582,0
72.1,94.5,52.6,85.3,31.6,12456,0
76.6,92.1,41.8,86.5,33.5,41979,0
77.6,86.6,44.5,98.2,30.7,37313,0
84.8,95.0,47.9,85.7,31.0,10268,0
108.6,67.5,26.1,106.9,20.4,81834,1
73.6,86.5,38.5,90.3,32.0,49669,0
80.9,91.3,53.9,95.1,31.8,26256,0
76.8,91.1,49.7,89.8,31.3,8864,0
72.0,89.3,53.2,87.2,31.0,20679,0
84.7,95.8,44.8,92.7,31.1,34168,0
89.8,98.3,52.5,89.4,30.9,43738,0
77.5,95.3,53.1,91.3,32.3,39167,0
84.2,85.0,54.9,91.8,33.2,34105,0
72.8,85.4,55.0,96.9,34.2,7632,0
87.7,90.3,50.8,89.5,33.0,48838,0
108.4,66.3,20.0,116.5,21.8,91636,1
77.0,98.3,44.9,88.8,31.0,25212,0
79.4,99.2,47.2,92.2,34.8,20883,0
72.9,90.7,49.3,95.4,32.2,23974,0
80.2,86.0,49.2,98.9,33.2,14179,0
76.9,94.0,39.7,85.3,30.1,6776,0
107.4,58.9,24.4,110.7,20.9,93592,1
70.4,90.8,45.5,90.6,31.9,15269,0
70.0,88.8,47.6,99.8,34.6,25375,0
111.0,58.3,21.2,109.0,21.8,93776,1
104.1,68.6,19.9,116.8,24.5,95052,1
72.6,88.4,43.7,96.1,31.2,27020,0
88.7,88.9,42.7,98.1,32.0,18262,0
73.0,92.0,48.0,95.7,30.1,21713,0
81.4,87.1,45.8,86.4,33.3,32224,0
80.2,96.6,52.1,94.5,33.0,18733,0
111.5,55.4,21.7,116.5,21.8,99787,1
108.1,57.4,21.1,114.5,23.9,99140,1
101.2,61.6,22.5,114.1,24.5,88757,1
82.6,87.5,54.8,91.0,30.5,47008,0
79.9,88.3,54.4,88.8,34.6,21968,0
86.8,95.3,49.2,91.9,33.6,32250,0
77.0,92.3,40.5,90.5,32.1,30698,0
84.7,97.0,51.2,99.7,31.9,28808,0
78.9,95.8,48.1,97.0,31.6,29297,0
82.4,94.6,46.6,90.1,30.9,16059,0
75.2,86.3,47.0,91.1,30.8,11882,0
85.6,90.6,40.2,86.0,34.0,30086,0
76.1,93.0,41.2,85.2,31.7,24695,0
70.4,98.8,49.4,97.0,34.6,48388,0
113.1,55.5,20.2,108.5,24.4,89693,1
81.0,93.2,49.6,93.5,30.5,21422,0
81.1,89.1,48.1,91.9,31.3,12285,0
71.5,98.2,40.2,90.5,33.2,37589,0
88.8,94.8,50.1,94.3,31.8,42794,0
76.1,99.1,41.0,85.4,33.7,22517,0
75.0,93.4,40.9,94.8,34.4,25603,0
73.1,99.7,39.2,88.7,34.3,49267,0
70.8,90.5,53.5,97.8,33.4,42938,0
105.2,62.1,23.9,109.5,24.2,84084,1
85.6,87.3,54.0,86.9,30.6,24396,0
84.5,87.3,42.4,96.3,33.2,6392,0
77.4,99.6,46.4,88.3,31.1,36094,0
70.1,98.5,45.5,96.3,30.9,29266,0
77.8,93.5,39.3,90.5,32.1,19644,0
81.0,99.7,43.5,85.3,32.0,31718,0
82.3,90.3,46.1,94.7,30.8,43858,0
105.1,58.1,22.7,116.4,23.8,85948,1
106.6,56.9,18.6,111.7,24.2,98154,1
84.9,94.9,41.2,99.3,32.4,43731,0
71.7,93.6,45.5,87.7,31.4,22660,0
78.1,91.3,43.1,97.1,33.0,49964,0
73.4,85.1,42.6,91.4,31.2,6315,0
78.0,95.4,39.6,95.4,34.3,43018,0
83.7,96.2,38.5,88.8,33.9,15111,0
87.0,98.5,53.7,88.7,32.9,5131,0
72.5,99.4,39.1,97.6,32.4,27928,0
71.2,89.2,51.8,85.9,34.8,38270,0
87.3,93.9,43.0,98.2,31.3,49839,0
85.5,92.6,47.0,93.8,34.1,38304,0
76.0,94.9,43.0,85.2,32.1,32621,0
86.1,86.5,39.8,93.1,33.5,23909,0
78.4,89.8,44.0,87.1,34.9,15562,0
89.3,99.1,49.9,91.6,31.0,36289,0
71.9,93.3,46.1,96.5,34.6,25171,0
111.0,61.1,21.9,109.5,20.6,83824,1
73.2,99.4,44.4,93.2,34.1,38882,0
73.7,95.3,46.3,93.9,32.7,45281,0
82.5,93.8,42.8,97.4,31.3,22019,0
87.8,86.5,48.1,94.5,31.4,33470,0
72.7,90.1,53.1,86.8,33.3,12051,0
75.3,92.4,44.3,91.2,34.8,18529,0
102.4,55.1,20.6,117.1,21.7,96123,1
108.5,56.9,24.8,113.6,20.5,93544,1
81.6,97.8,42.7,93.5,32.0,15771,0
79.2,89.0,43.6,87.8,31.6,29435,0
71.4,89.4,48.4,95.2,32.9,38345,0
82.4,91.2,39.2,94.6,32.6,18688,0
70.5,87.5,50.7,85.7,34.3,32043,0
71.6,85.4,39.6,85.6,31.0,40362,0
113.6,61.8,20.6,112.3,22.6,81715,1
80.3,96.3,44.4,95.8,33.2,10264,0
72.3,95.2,39.1,98.5,32.2,16873,0
84.9,88.0,43.2,98.5,33.7,40525,0
89.4,91.9,48.2,96.8,30.3,21769,0
109.9,62.3,18.4,116.9,23.7,88045,1
87.8,91.9,52.0,87.4,30.8,43150,0
114.1,68.0,24.1,115.2,23.1,88033,1
71.8,87.0,48.0,94.0,34.5,48789,0
86.5,97.9,38.7,88.4,31.4,43927,0
86.1,91.4,47.5,89.0,33.4,13598,0
77.7,87.6,47.9,88.6,31.7,48806,0
74.6,99.5,38.0,93.1,33.1,45178,0
87.3,88.2,54.5,99.6,32.0,12175,0
75.7,98.5,44.1,92.5,30.4,9766,0
112.4,64.3,25.8,118.0,24.7,83390,1
106.1,59.0,24.4,108.2,24.9,85020,1
80.3,92.9,41.6,97.6,31.4,47550,0
82.0,92.8,42.0,89.3,33.3,6221,0
109.7,65.1,20.1,113.7,20.5,97038,1
88.2,94.6,54.2,98.2,30.7,37149,0
83.2,87.6,46.8,99.5,32.1,24877,0
74.8,97.5,49.7,92.3,31.2,37457,0
78.8,91.4,48.3,91.0,34.2,40012,0
70.9,87.9,46.0,92.3,32.8,9383,0
77.9,95.8,39.1,90.2,32.0,23638,0
83.9,94.9,41.7,92.7,30.4,20085,0
108.0,67.3,23.7,107.4,24.6,90975,1
107.6,58.5,23.8,112.1,24.6,88264,1
88.3,95.5,54.4,91.2,34.1,13344,0
75.8,91.0,41.9,88.8,34.8,28084,0
76.3,98.4,53.7,98.6,32.9,17633,0
79.5,95.7,47.8,90.1,31.1,46698,0
108.7,60.7,20.4,109.0,20.3,91247,1
78.2,91.2,40.4,99.4,30.8,37721,0
72.0,96.2,49.4,90.5,34.0,26293,0
83.6,95.8,47.8,94.6,31.9,34955,0
87.5,87.4,43.3,97.0,32.0,21586,0
78.0,87.8,48.8,85.7,30.5,15538,0
85.7,87.1,50.8,94.9,32.8,14575,0
77.3,87.8,38.6,85.5,33.3,42162,0
108.1,58.5,22.5,116.9,20.6,98152,1
85.8,85.0,42.4,100.0,30.2,16459,0
80.4,92.6,44.2,98.2,30.4,34386,0
74.0,95.0,38.7,91.0,30.9,9707,0
84.4,99.4,44.7,97.5,33.6,22504,0
79.9,90.1,50.5,93.1,33.6,18853,0
70.4,85.1,46.0,99.4,30.5,24446,0
70.2,86.3,45.8,86.3,31.0,10772,0
73.6,90.5,41.0,94.9,30.3,29399,0
85.8,98.9,40.0,99.9,33.7,43255,0
76.1,86.9,40.5,85.7,34.6,26232,0
76.8,99.4,39.5,93.7,31.6,10361,0
83.1,85.1,46.5,88.0,32.6,49059,0
75.8,90.0,47.3,94.7,31.1,49409,0
73.8,95.9,51.7,90.7,32.3,33404,0
107.5,67.0,26.9,111.3,20.9,80766,1
73.9,92.0,40.8,96.0,33.1,38001,0
83.9,93.7,52.7,89.0,30.2,34325,0
82.0,95.3,40.6,85.4,30.2,27809,0
75.1,90.2,45.9,94.7,31.4,14069,0
76.9,95.7,51.8,92.2,33.4,13137,0
105.6,65.4,19.3,116.9,22.0,83097,1
87.6,99.6,38.4,94.5,31.0,25593,0
83.2,96.2,52.8,86.8,31.3,6106,0
74.3,96.6,43.2,93.7,32.8,41099,0
106.9,64.9,23.2,117.3,23.9,85571,1
72.6,99.4,40.7,97.5,33.4,31474,0
104.1,66.1,24.8,106.9,21.4,97169,1
72.2,99.4,50.5,89.1,31.9,35258,0
77.2,95.6,44.5,86.2,34.6,23470,0
75.5,95.5,41.7,95.5,30.2,22575,0
77.3,85.7,53.2,94.4,35.0,20410,0
104.2,64.9,23.4,111.2,24.9,88909,1
87.3,95.7,54.1,87.9,30.7,40134,0
76.5,92.3,47.3,87.9,32.4,32343,0
88.4,92.4,43.0,95.1,34.2,15177,0
88.6,95.4,50.3,89.6,33.1,23613,0
102.1,66.0,26.3,106.4,21.9,82918,1
76.3,93.9,53.7,89.8,31.0,14233,0
73.1,86.1,38.5,88.2,31.7,21771,0
77.1,86.1,39.1,97.0,34.2,32957,0
86.9,94.1,41.9,98.0,30.9,37301,0
74.2,99.2,47.7,89.4,34.6,5106,0
86.1,90.7,52.8,99.7,30.9,7596,0
80.7,85.5,50.3,96.8,34.1,18688,0
81.6,98.1,44.9,98.2,30.1,19657,0
73.2,97.1,49.8,95.3,33.9,32742,0
113.0,63.4,24.1,116.8,24.0,93784,1
70.2,96.0,45.5,91.5,32.6,36146,0
71.6,87.4,51.5,95.4,31.7,16726,0
72.0,97.7,50.8,91.1,32.8,24869,0
87.2,92.7,48.6,95.3,34.7,42609,0
76.5,86.2,40.5,91.9,32.0,24156,0
85.8,96.7,47.5,97.2,32.2,18179,0
82.9,89.7,54.9,94.8,34.7,32506,0
79.7,98.8,51.7,86.4,33.8,16164,0
81.4,92.8,47.4,99.6,33.4,28459,0
78.8,92.5,49.9,88.6,34.3,29269,0
80.5,93.2,43.0,99.5,34.0,43751,0
81.4,89.5,51.9,98.1,32.9,32179,0
82.0,90.7,42.6,89.0,34.1,12078,0
101.9,62.9,18.7,107.0,21.1,88907,1
72.5,97.2,39.2,90.3,34.8,47137,0
106.4,59.8,26.2,106.8,24.7,97193,1
85.9,91.7,45.9,96.0,34.1,36905,0
77.7,96.1,38.1,97.9,35.0,13448,0
84.1,96.5,40.3,90.1,34.2,30174,0
77.6,89.2,38.0,88.4,32.0,10155,0
71.9,94.8,49.5,88.6,33.7,21938,0
70.1,98.7,54.1,95.9,30.6,24995,0
71.0,100.0,53.8,91.3,34.4,6636,0
101.4,55.6,25.3,116.0,20.3,89258,1
77.1,96.6,52.0,95.9,30.6,14902,0
88.5,86.7,48.7,90.3,32.0,32104,0
113.8,57.6,23.3,116.0,21.0,89173,1
82.6,90.4,42.3,94.0,31.3,39213,0
84.3,92.9,52.6,91.1,31.1,21900,0
101.4,61.0,19.7,116.8,23.0,90187,1
82.5,86.1,48.0,93.2,31.7,23956,0
80.0,95.6,49.2,88.2,30.3,18001,0
77.6,96.0,48.5,97.6,31.9,8121,0
70.2,91.5,47.7,95.6,30.9,20643,0
79.3,86.6,47.2,97.0,32.8,19246,0
81.6,93.0,53.3,95.3,32.4,11273,0
88.9,98.5,41.7,94.3,33.8,39194,0
82.6,88.3,49.2,87.3,32.8,47300,0
71.9,97.5,49.5,89.9,31.5,14077,0
83.2,93.7,38.3,97.0,31.1,48762,0
77.0,95.7,52.5,88.6,32.4,8184,0
86.6,97.1,47.9,87.4,33.6,18190,0
82.8,89.0,41.5,97.2,31.6,24146,0
82.9,86.0,50.3,87.4,30.0,40647,0
84.0,93.8,38.9,88.8,34.1,38219,0
111.5,55.6,23.6,114.1,20.2,94855,1
84.1,87.6,46.5,90.1,34.1,34430,0
76.0,90.0,38.7,94.7,31.3,40537,0
89.3,86.1,39.7,92.6,32.2,31215,0
72.4,99.9,45.3,91.0,34.5,40585,0
109.5,62.9,26.1,110.3,22.1,80676,1
88.9,88.3,44.4,97.0,33.2,37303,0
101.5,63.7,22.4,107.9,22.8,97474,1
84.2,87.3,40.0,96.4,32.6,18493,0
75.5,90.7,38.3,97.1,34.3,38709,0
84.9,96.9,48.2,91.2,31.8,22598,0
87.6,99.4,54.1,86.4,32.0,48131,0
80.9,89.9,42.1,95.3,32.1,19467,0
74.5,99.5,43.8,93.7,33.8,36209,0
86.8,90.7,45.0,95.0,34.6,46024,0
81.4,88.8,46.5,96.0,33.3,22006,0
70.8,96.8,49.8,97.9,34.0,15545,0
71.8,98.4,51.7,89.4,33.9,24514,0
81.1,90.8,53.4,86.9,33.2,8871,0
72.6,93.1,51.3,97.9,32.1,46759,0
114.9,56.7,18.1,114.1,22.3,82886,1
103.5,66.9,24.1,106.5,22.1,83812,1
114.1,55.8,24.8,109.6,22.4,99178,1
86.5,94.2,38.4,89.2,32.6,43567,0
76.4,95.1,47.9,86.2,34.9,9905,0
74.1,98.4,50.1,99.2,30.4,28109,0
87.0,95.2,42.4,92.4,33.4,12680,0
72.9,90.2,41.3,92.0,30.4,27848,0
88.3,86.3,41.3,92.1,34.0,7021,0
75.9,91.1,50.8,93.2,33.4,45632,0
75.4,98.4,51.8,85.5,34.6,27974,0
80.4,97.7,39.8,95.0,34.6,46844,0
87.3,86.8,38.2,94.1,30.3,19991,0
113.8,68.2,21.6,111.5,23.9,91734,1
81.6,92.7,40.4,97.8,33.9,8892,0
70.8,90.2,48.7,91.5,31.9,31700,0
87.3,94.9,40.0,97.8,33.9,45032,0
86.4,93.4,40.0,99.3,30.4,49481,0
104.4,66.8,21.8,107.1,21.5,88991,1
70.7,92.7,44.4,90.3,33.9,20175,0
83.4,85.5,44.5,95.2,30.5,21956,0
74.5,97.2,43.4,85.0,33.4,33295,0
73.7,91.4,44.0,90.7,33.4,23261,0
86.5,90.4,44.0,88.0,32.6,28092,0
83.7,89.3,46.9,85.5,31.6,49849,0
88.3,97.6,54.6,95.5,30.2,48609,0
73.8,97.9,39.3,92.0,32.2,30487,0
76.4,93.1,43.5,97.5,31.6,16633,0
89.5,87.7,42.6,96.4,32.5,20370,0
89.8,98.1,43.4,99.9,31.8,24636,0
75.2,90.9,52.6,94.5,32.8,18920,0
85.3,93.1,41.5,95.8,34.4,23866,0
72.7,90.7,48.8,98.5,33.2,21888,0
88.4,91.3,53.5,90.6,33.6,25645,0
78.0,86.8,45.6,87.1,32.3,14900,0
84.6,86.9,51.3,99.0,32.7,40454,0
106.9,65.9,19.8,112.3,24.2,95373,1
77.4,89.4,52.0,93.5,30.4,21751,0
85.7,99.8,47.6,96.0,33.0,10254,0
72.7,91.2,40.4,96.1,34.5,5876,0
85.3,94.1,49.6,94.2,32.4,20424,0
81.5,91.9,53.1,88.5,30.5,33476,0
79.6,97.2,41.4,96.3,34.3,9636,0
73.0,96.8,43.4,89.9,33.9,25313,0
71.4,99.3,52.2,98.4,34.1,32376,0
77.7,94.0,42.2,86.7,34.4,37568,0
82.2,91.5,47.8,88.6,30.1,8057,0
75.1,94.8,49.4,92.6,34.4,40600,0
89.2,87.6,40.5,89.9,34.2,44242,0
89.1,88.4,38.0,90.5,30.7,19318,0
88.9,98.7,52.5,97.2,33.1,44640,0
82.7,98.8,48.4,86.8,33.5,12367,0
110.4,55.6,22.3,117.8,20.7,83738,1
102.9,56.6,23.1,108.6,23.4,91936,1
88.5,97.2,41.2,89.9,34.4,29275,0
89.2,87.7,40.7,95.9,30.5,19224,0
72.1,97.8,38.7,87.9,34.6,17341,0
74.4,91.3,43.6,87.9,34.7,40981,0
78.9,93.6,46.8,94.2,30.4,31594,0
105.5,64.2,26.2,118.0,24.5,93786,1
81.7,99.6,40.9,93.7,34.2,37719,0
85.3,88.3,46.4,93.8,32.1,13027,0
114.1,65.2,26.6,106.9,21.0,85129,1
77.6,87.2,52.1,94.4,33.3,29002,0
85.0,97.8,48.4,88.2,31.5,32165,0
73.6,90.9,45.9,85.2,31.5,36602,0
76.5,97.9,42.1,86.7,31.6,28045,0
85.7,92.9,53.4,91.3,31.9,9204,0
74.4,89.3,51.7,100.0,33.7,28323,0
78.6,87.1,42.8,87.4,33.7,47683,0
87.7,93.2,44.8,98.2,33.4,43590,0
82.3,87.2,47.2,86.4,34.7,7068,0
109.7,62.5,23.4,116.0,23.3,83269,1
86.4,92.8,49.8,93.7,30.3,6082,0
81.1,99.5,51.4,93.0,32.0,39189,0
78.1,86.9,46.6,90.6,31.8,33640,0
106.5,60.1,25.5,107.0,23.9,97143,1
114.8,66.3,23.8,113.4,20.6,82752,1
78.0,87.9,47.7,90.1,32.1,33320,0
78.8,98.4,43.7,88.9,32.5,39724,0
102.1,61.7,22.1,108.4,21.8,82354,1
75.6,90.6,42.9,87.0,34.9,17425,0
75.7,95.9,42.9,89.3,34.9,26803,0
80.2,92.8,40.6,98.7,33.4,49574,0
79.7,98.7,49.0,93.8,31.8,19661,0
87.8,99.0,41.4,91.1,32.0,28871,0
80.6,95.8,44.9,97.0,30.0,41267,0
76.0,98.0,42.7,86.7,34.4,32067,0
89.9,92.2,52.6,98.8,32.9,24688,0
