vehicle_age,mileage,days_since_last_service,oil_pressure,engine_temperature,tire_pressure,brake_fluid_level,brake_temperature,driving_pattern,days_until_failure,failure_probability,component_at_risk,brake_temp_deviation,oil_pressure_deviation,avg_daily_mileage,brake_risk_score,engine_risk_score,sensor_variance,mileage_category,driving_encoded
10,17277,73,47.9,90.3,30.3,55.1,82.4,highway,8,72.0,brakes,2.4000000000000057,1.8999999999999986,4.732128184059162,0.5299425,0.585108,0.2065578274717581,0,0
4,67279,248,34.2,97.4,30.9,95.2,77.4,mixed,21,42.9,oil_system,-2.5999999999999943,-11.799999999999997,46.04996577686516,0.4945975,0.8256874285714286,0.1727600890797474,1,1
10,94750,43,46.4,96.8,33.3,94.8,77.4,city,11,69.9,general_service,-2.5999999999999943,0.3999999999999986,25.95179402903314,0.564675,0.9321428571428572,0.24926490428527215,2,2
9,48637,222,42.1,99.5,30.2,97.2,94.3,city,11,66.0,brakes,14.299999999999997,-3.8999999999999986,14.80127814972611,0.5085925,0.7631194285714286,0.026177012231875466,0,2
5,5916,221,48.0,92.9,34.9,90.2,88.9,highway,127,16.5,none,8.900000000000006,2.0,3.23986856516977,0.40469000000000005,0.5545211428571429,0.2156340208110084,0,0
10,36574,101,48.2,97.3,33.4,88.4,71.3,mixed,45,15.8,none,-8.700000000000003,2.200000000000003,10.017529443987948,0.41723499999999997,0.7022959999999999,0.323833250399995,0,1
7,90310,322,53.0,90.6,30.5,88.8,70.2,highway,8,66.8,general_service,-9.799999999999997,7.0,35.33255086071988,0.5457750000000001,0.8789542857142857,0.3510049439579863,2,0
2,62246,251,38.9,98.7,34.4,76.1,93.0,highway,13,52.7,brakes,13.0,-7.100000000000001,85.15184678522571,0.6112650000000001,0.812984,0.13120735758832716,1,0
2,63583,77,54.7,86.8,34.3,87.0,74.3,highway,25,31.9,general_service,-5.700000000000003,8.700000000000003,86.98084815321478,0.5016575,0.750332,0.3949068424104237,1,0
10,26720,193,34.9,90.4,31.0,86.0,73.3,mixed,18,31.3,oil_system,-6.700000000000003,-11.100000000000001,7.318542864968502,0.40900000000000003,0.6234514285714285,0.2050964500122666,0,1
4,45707,339,44.6,103.3,32.4,98.4,78.2,city,13,68.4,engine,-1.7999999999999972,-1.3999999999999986,31.28473648186174,0.4326675,0.7731137142857143,0.23410380568614145,0,2
9,22238,134,41.8,96.3,35.0,91.9,89.7,mixed,158,3.7,none,9.700000000000003,-4.200000000000003,6.7674984783931835,0.442745,0.6392377142857143,0.17046389662042932,0,1
7,80410,219,41.4,94.8,30.6,91.3,73.0,city,10,53.7,general_service,-7.0,-4.600000000000001,31.459311424100157,0.523475,0.8633542857142857,0.22742838728605852,2,2
8,62141,138,49.5,97.6,31.0,81.8,92.6,city,13,70.6,brakes,12.599999999999994,3.5,21.27387880862718,0.5894525,0.8062782857142856,0.11719668404845185,1,2
5,55733,355,41.6,104.0,34.5,86.3,71.8,highway,11,67.4,engine,-8.200000000000003,-4.399999999999999,30.521905805038337,0.47448250000000003,0.8172177142857143,0.33057415786016103,1,0
6,26586,131,47.5,111.4,33.5,89.3,70.9,highway,6,89.2,engine,-9.099999999999994,1.5,12.134185303514377,0.387515,0.7429154285714287,0.38657675771390065,0,0
6,74248,135,42.7,102.2,32.8,98.3,84.1,mixed,8,76.8,engine,4.099999999999994,-3.299999999999997,33.887722501141035,0.52797,0.880992,0.16346532856613688,1,1
2,11707,55,47.0,92.5,31.0,88.9,86.7,city,100,18.3,none,6.700000000000003,1.0,16.01504787961696,0.4149175,0.5753994285714286,0.1603328427026277,0,2
3,26426,283,52.1,92.0,32.2,95.2,76.2,city,48,6.1,none,-3.799999999999997,6.100000000000001,24.111313868613138,0.387665,0.6314182857142857,0.3004807452603824,0,2
8,26293,362,26.7,94.8,34.8,85.1,81.9,mixed,4,85.9,oil_system,1.9000000000000057,-19.3,9.001369394043136,0.4454825000000001,0.6468862857142857,0.2669966896804668,0,1
1,59181,283,36.9,94.8,31.9,91.4,84.6,mixed,20,45.6,oil_system,4.599999999999994,-9.100000000000001,161.69672131147541,0.5164525,0.7784382857142857,0.12235614868219284,1,1
4,45953,297,45.4,96.7,32.4,88.8,78.0,mixed,35,2.2,none,-2.0,-0.6000000000000014,31.45311430527036,0.46608250000000007,0.7363834285714286,0.2233187374659846,0,1
5,75395,67,36.5,91.3,34.5,99.6,71.5,mixed,23,54.2,oil_system,-8.5,-9.5,41.28970427163198,0.4758875,0.8232942857142858,0.3094422029745861,1,1
3,8419,7,40.2,103.9,30.4,93.0,74.1,mixed,24,49.4,engine,-5.900000000000006,-5.799999999999997,7.681569343065694,0.3419475,0.6273902857142858,0.25471064917316916,0,1
6,31495,90,21.0,87.7,31.9,96.6,78.1,mixed,4,94.9,oil_system,-1.9000000000000057,-25.0,14.374714742126883,0.40303750000000005,0.6271228571428571,0.23918700767099668,0,1
3,40969,82,25.2,97.8,34.3,87.7,73.9,city,2,89.8,oil_system,-6.099999999999994,-20.8,37.38047445255474,0.4410725,0.7227331428571429,0.3147190501610873,0,2
1,17239,134,51.0,95.5,34.6,89.2,87.5,city,82,11.1,none,7.5,5.0,47.10109289617486,0.43089750000000004,0.6146702857142857,0.21517564415815352,0,2
3,32771,155,47.2,107.5,31.2,87.1,85.7,mixed,4,85.7,engine,5.700000000000003,1.2000000000000028,29.900547445255473,0.4698775,0.7453697142857142,0.18906438176186227,0,1
1,13262,336,47.1,90.2,34.9,96.6,80.6,mixed,67,10.6,none,0.5999999999999943,1.1000000000000014,36.23497267759563,0.36745500000000003,0.5684765714285714,0.2853335220838912,0,1
3,46816,287,52.6,89.8,32.7,88.9,88.9,city,85,11.4,none,8.900000000000006,6.600000000000001,42.715328467153284,0.51149,0.7004068571428571,0.24417164567663804,0,2
4,47148,177,26.5,98.9,30.8,99.5,73.9,mixed,1,94.8,oil_system,-6.099999999999994,-19.5,32.271047227926076,0.41522000000000003,0.7537348571428572,0.23602688907375624,0,1
5,38321,134,54.6,95.0,34.0,92.6,78.2,city,158,1.2,none,-1.7999999999999972,8.600000000000001,20.98630887185104,0.43450250000000007,0.6961411428571428,0.3125498095854599,0,2
5,21135,206,52.2,95.1,32.8,99.3,72.8,city,131,20.6,none,-7.200000000000003,6.200000000000003,11.57447973713034,0.3464875,0.6279685714285714,0.329484012280873,0,2
6,41368,334,45.1,101.2,31.5,97.4,83.0,highway,13,72.8,engine,3.0,-0.8999999999999986,18.880876312186217,0.44452,0.7437577142857144,0.16448396213875366,0,0
6,34774,281,38.6,86.7,31.2,61.9,79.3,highway,9,72.3,brakes,-0.7000000000000028,-7.399999999999999,15.871291647649475,0.537485,0.6345245714285714,0.19582098190411737,0,0
3,19045,288,44.0,96.0,34.6,91.2,88.8,highway,63,12.5,none,8.799999999999997,-2.0,17.376824817518248,0.4336125,0.6247514285714285,0.16893758179079116,0,0
8,11429,123,39.3,103.0,31.4,87.8,75.8,mixed,23,46.0,engine,-4.200000000000003,-6.700000000000003,3.9127011297500855,0.37447250000000004,0.6342874285714285,0.2356303370164253,0,1
3,46093,214,40.6,97.9,33.1,99.2,82.0,highway,119,20.6,none,2.0,-5.399999999999999,42.05565693430657,0.4460325,0.7438005714285714,0.17657922026496772,0,0
8,36495,104,50.7,98.1,30.6,72.5,97.6,highway,18,52.8,brakes,17.599999999999994,4.700000000000003,12.49400890106128,0.5778875,0.7065514285714285,0.11873699057513214,0,0
8,71874,39,32.9,91.6,32.2,90.3,75.4,mixed,8,63.4,oil_system,-4.599999999999994,-13.100000000000001,24.60595686408764,0.515235,0.8109245714285713,0.21248263401096065,1,1
4,43762,167,54.9,100.9,32.8,85.3,87.3,highway,23,25.8,engine,7.299999999999997,8.899999999999999,29.953456536618756,0.510055,0.7516194285714286,0.20423224608923926,0,0
10,32207,279,43.7,107.1,30.7,93.9,85.3,city,3,95.1,engine,5.299999999999997,-2.299999999999997,8.821418789372775,0.4430675,0.740828,0.17986330562096378,0,2
6,41147,44,53.5,87.8,33.6,94.5,70.9,mixed,79,14.0,none,-9.099999999999994,7.5,18.78000912825194,0.4057175,0.6663022857142857,0.3950903517607356,0,1
7,11535,49,44.4,92.9,30.7,90.0,82.5,mixed,113,20.8,none,2.5,-1.6000000000000014,4.512910798122066,0.3938375,0.5769971428571429,0.1600841190562161,0,1
10,32411,3,48.5,104.6,30.3,94.3,86.7,city,9,67.4,engine,6.700000000000003,2.5,8.87729389208436,0.44777750000000005,0.7273582857142856,0.16718389631738506,0,2
9,29089,205,54.0,96.3,30.6,90.9,79.6,mixed,73,18.6,none,-0.4000000000000057,8.0,8.852404138770542,0.4229725,0.6666417142857143,0.26517477684207197,0,1
1,15921,48,49.7,87.6,23.4,97.8,84.8,city,5,96.8,tires,4.799999999999997,3.700000000000003,43.5,0.3867025,0.5642554285714284,0.28913715852172944,0,2
1,11458,212,48.2,93.2,32.8,97.5,87.2,city,146,11.5,none,7.200000000000003,2.200000000000003,31.306010928961747,0.38619499999999995,0.5784034285714286,0.18410909618226942,0,2
3,8797,30,43.7,97.1,34.9,84.3,99.5,city,14,66.9,brakes,19.5,-2.299999999999997,8.026459854014599,0.47494250000000005,0.5900451428571428,0.13114837763125362,0,2
8,8988,157,41.8,89.8,34.7,88.3,72.2,city,147,15.3,none,-7.799999999999997,-4.200000000000003,3.077028414926395,0.35222,0.5490948571428571,0.32583328153120744,0,2
8,20094,38,40.5,93.2,32.3,92.9,80.3,mixed,94,15.5,none,0.29999999999999716,-5.5,6.879150975693256,0.396285,0.6129474285714286,0.18168809970553784,0,1
4,41940,211,43.1,99.7,34.9,86.9,77.3,highway,141,19.7,none,-2.700000000000003,-2.8999999999999986,28.706365503080082,0.45990000000000003,0.7374742857142857,0.2690764855589992,0,0
4,37850,230,52.2,99.4,31.7,89.1,85.1,highway,135,11.5,none,5.099999999999994,6.200000000000003,25.906913073237508,0.47317500000000007,0.7194,0.19661300289256337,0,0
1,29901,279,31.4,95.3,32.6,86.2,86.7,highway,9,72.2,oil_system,6.700000000000003,-14.600000000000001,81.69672131147541,0.4698525,0.6641754285714285,0.15129170178199705,0,0
9,69739,31,40.0,97.4,33.9,92.0,72.0,city,15,30.2,general_service,-8.0,-6.0,21.223067559342667,0.49034749999999994,0.8355274285714286,0.2934926176373356,1,2
6,76725,82,41.7,92.4,31.3,65.7,73.0,city,12,70.2,brakes,-7.0,-4.299999999999997,35.018256503879506,0.6038625,0.8349,0.239973264835657,1,2
10,42825,84,44.7,92.8,33.4,55.1,76.1,mixed,8,57.2,brakes,-3.9000000000000057,-1.2999999999999972,11.729663105998357,0.5686125,0.7015857142857143,0.26379491180786035,0,1
5,13294,169,51.2,88.3,23.2,99.1,74.4,city,3,87.7,tires,-5.599999999999994,5.200000000000003,7.28039430449069,0.3339850000000001,0.5577474285714286,0.3346822879613313,0,2
10,31283,232,40.3,96.9,20.7,96.9,80.4,city,5,82.4,tires,0.4000000000000057,-5.700000000000003,8.568337441796768,0.4106575,0.6788462857142857,0.28079828037343196,0,2
9,9296,257,54.6,110.2,30.8,89.8,79.8,highway,6,85.6,engine,-0.20000000000000284,8.600000000000001,2.828971393791844,0.37814,0.6668982857142857,0.31024556671354214,0,0
5,7398,333,49.5,104.0,33.5,85.2,85.1,highway,10,68.8,engine,5.099999999999994,3.5,4.051478641840087,0.410695,0.6238777142857143,0.19309192328826122,0,0
8,7567,312,52.4,99.0,30.0,75.5,96.1,highway,13,72.3,brakes,16.099999999999994,6.399999999999999,2.590551181102362,0.4890675,0.5959822857142857,0.14283809396808464,0,0
8,25735,175,48.9,104.8,32.7,94.9,71.7,city,12,53.4,engine,-8.299999999999997,2.8999999999999986,8.810338925025675,0.3689875,0.7017971428571428,0.334416423627327,0,2
1,24856,37,50.5,88.2,34.8,86.7,70.3,mixed,77,11.0,none,-9.700000000000003,4.5,67.91256830601093,0.38988999999999996,0.603424,0.3959693703463142,0,1
7,47924,183,53.1,110.0,30.3,92.3,79.7,mixed,1,95.7,engine,-0.29999999999999716,7.100000000000001,18.74960876369327,0.4655600000000001,0.8202674285714285,0.3032591376954262,0,1
6,23796,64,52.8,87.3,32.5,95.4,83.3,mixed,31,15.1,none,3.299999999999997,6.799999999999997,10.86079415791876,0.40879,0.5940411428571428,0.29386553324442666,0,1
2,25262,141,42.2,93.2,31.5,61.0,82.6,city,12,59.8,brakes,2.5999999999999943,-3.799999999999997,34.55813953488372,0.5300549999999999,0.6336194285714286,0.15341977850587388,0,2
7,46505,158,43.1,89.5,32.3,96.5,87.3,city,67,1.0,none,7.299999999999997,-2.8999999999999986,18.194444444444443,0.4777125,0.6974485714285714,0.17621173528659997,0,2
3,9182,259,42.0,99.7,30.4,83.0,96.2,highway,21,36.3,brakes,16.200000000000003,-4.0,8.377737226277372,0.46725500000000003,0.6064422857142857,0.024879939727753406,0,0
5,33136,222,38.1,99.0,28.2,90.0,71.1,city,27,42.1,tires,-8.900000000000006,-7.899999999999999,18.146768893756846,0.40223999999999993,0.6982582857142857,0.23154461053390243,0,2
3,39120,53,45.7,101.2,31.9,96.1,74.7,city,15,50.0,engine,-5.299999999999997,-0.29999999999999716,35.693430656934304,0.41025,0.7347657142857142,0.2627772596106098,0,2
8,87375,328,46.0,90.0,31.9,89.6,80.2,city,13,77.6,general_service,0.20000000000000284,0.0,29.912701129750086,0.5756375,0.8637857142857143,0.22530525073044394,2,2
2,26698,173,48.3,91.5,30.3,62.4,107.0,mixed,5,96.4,brakes,27.0,2.299999999999997,36.522571819425444,0.6263450000000002,0.6296491428571428,0.21937963343894695,0,1
5,33103,202,40.0,100.1,30.4,88.4,76.4,mixed,17,34.8,engine,-3.5999999999999943,-6.0,18.12869660460022,0.4289575,0.7044119999999999,0.20078697287973155,0,1
5,32830,32,51.4,94.4,34.0,94.9,92.4,highway,14,70.7,brakes,12.400000000000006,5.399999999999999,17.97918948521358,0.469525,0.6707485714285715,0.18787001786607865,0,0
3,35691,12,51.8,99.5,30.1,86.9,96.6,highway,9,76.3,brakes,16.599999999999994,5.799999999999997,32.56478102189781,0.5214775,0.7113354285714285,0.13134450407889992,0,0
6,7251,81,51.6,102.2,31.6,93.0,85.1,highway,9,70.4,engine,5.099999999999994,5.600000000000001,3.309447740757645,0.3830275000000001,0.613004,0.19224895938202613,0,0
5,36373,23,39.7,106.1,31.4,96.3,82.8,city,5,82.0,engine,2.799999999999997,-6.299999999999997,19.91949616648412,0.43508250000000004,0.7517777142857143,0.1917141165508759,0,2
2,37792,354,30.6,97.9,31.8,98.0,78.5,city,11,65.4,oil_system,-1.5,-15.399999999999999,51.69904240766074,0.41548000000000007,0.7105965714285714,0.19330408337033197,0,2
4,42751,187,50.8,93.9,34.1,60.8,73.8,city,14,68.6,brakes,-6.200000000000003,4.799999999999997,29.261464750171115,0.5392775,0.7075754285714286,0.3305430135449583,0,2
10,55811,121,43.7,95.4,30.8,95.4,100.0,mixed,11,63.4,brakes,20.0,-2.299999999999997,15.286496850178034,0.5556275,0.7683868571428571,0.09724162423831112,1,1
4,23481,235,42.8,106.7,30.6,87.3,89.3,city,3,99.0,engine,9.299999999999997,-3.200000000000003,16.071868583162217,0.4603525,0.7036382857142858,0.13926866586072895,0,2
4,8841,226,47.7,96.8,33.1,80.4,96.0,city,22,46.3,brakes,16.0,1.7000000000000028,6.0513347022587265,0.4747025,0.5885068571428571,0.10692975988428254,0,2
4,10208,123,53.5,85.1,28.8,91.6,88.7,highway,19,47.1,tires,8.700000000000003,7.5,6.9869952087611225,0.40972000000000003,0.5271177142857143,0.28888647140537427,0,0
2,73409,21,29.5,98.4,33.1,87.5,78.8,city,9,61.0,oil_system,-1.2000000000000028,-16.5,100.42270861833106,0.5424725,0.8559217142857143,0.22937745257757214,1,2
5,25583,331,49.0,92.0,33.1,56.2,106.5,mixed,6,86.7,brakes,26.5,3.0,14.01040525739321,0.6432574999999999,0.6280462857142857,0.2081009723191548,0,1
3,44364,17,43.3,103.0,33.0,97.2,88.1,mixed,17,30.6,engine,8.099999999999994,-2.700000000000003,40.47810218978102,0.47311,0.7660274285714286,0.12832157926608218,0,1
3,44437,87,54.7,86.0,30.1,89.5,88.3,highway,85,15.5,none,8.299999999999997,8.700000000000003,40.54470802919708,0.5010425000000001,0.6691765714285713,0.29212164212160646,0,0
3,35631,185,46.4,109.2,32.9,88.6,85.8,mixed,2,77.9,engine,5.799999999999997,0.3999999999999986,32.51003649635037,0.4721775,0.766524,0.2034218952584826,0,1
2,37104,0,51.2,94.0,34.9,94.6,70.4,city,173,13.0,none,-9.599999999999994,5.200000000000003,50.7578659370725,0.39326000000000005,0.6855588571428571,0.378306630883503,0,2
6,48193,358,48.5,109.9,31.9,87.7,78.3,mixed,7,82.1,engine,-1.7000000000000028,2.5,21.99589228662711,0.47673249999999995,0.8207720000000001,0.29072127601483855,0,1
3,39821,92,43.6,90.4,34.0,95.4,83.8,highway,31,11.2,none,3.799999999999997,-2.3999999999999986,36.33302919708029,0.4508525,0.6758554285714286,0.22560153067406083,0,0
9,31791,254,47.6,95.6,31.4,95.1,85.4,mixed,139,20.9,none,5.400000000000006,1.6000000000000014,9.674680462568473,0.4382275000000001,0.6734497142857143,0.15897222737309719,0,1
3,20888,140,42.1,104.4,32.0,88.0,75.9,city,24,44.0,engine,-4.099999999999994,-3.8999999999999986,19.05839416058394,0.39782,0.6801234285714286,0.2554956334411275,0,2
4,20545,223,38.0,97.1,31.8,99.6,70.7,mixed,127,2.1,none,-9.299999999999997,-8.0,14.062286105407255,0.33556250000000004,0.6370371428571429,0.26241873044585307,0,1
1,89140,54,41.0,88.9,34.9,95.1,88.9,city,11,59.5,general_service,8.900000000000006,-5.0,243.55191256830602,0.5956,0.86456,0.23283325488837722,2,2
5,23226,155,47.9,87.2,33.9,86.7,77.7,mixed,87,12.1,none,-2.299999999999997,1.8999999999999986,12.71960569550931,0.415415,0.5911897142857143,0.31202240794552266,0,1
5,28613,327,35.7,90.2,33.6,95.7,81.4,city,28,32.5,oil_system,1.4000000000000057,-10.299999999999997,15.669769989047097,0.41218250000000006,0.6298805714285715,0.21393466615586157,0,2
1,33797,230,23.8,85.6,33.5,86.3,89.6,city,7,96.6,oil_system,9.599999999999994,-22.2,92.3415300546448,0.49084249999999996,0.6243308571428571,0.2730161673543195,0,2
7,25286,122,39.7,106.1,33.8,99.9,81.3,city,5,89.6,engine,1.2999999999999972,-6.299999999999997,9.89280125195618,0.3887649999999999,0.7074297142857143,0.23327806227061873,0,2
10,30602,173,40.2,90.2,31.8,90.7,97.7,city,13,74.2,brakes,17.700000000000003,-5.799999999999997,8.381813201862503,0.499855,0.6378365714285714,0.15247991087544788,0,2
9,9942,46,38.7,99.4,33.8,97.7,81.7,highway,166,13.4,none,1.7000000000000028,-7.299999999999997,3.0255629945222156,0.35970500000000005,0.6077680000000001,0.1970667932539659,0,0
9,52063,204,38.6,87.9,34.9,85.9,89.2,highway,27,49.1,general_service,9.200000000000003,-7.399999999999999,15.84388314059647,0.5363074999999999,0.7105377142857143,0.24072299125745283,1,0
4,20450,278,45.7,103.0,31.0,91.3,82.7,highway,14,56.0,engine,2.700000000000003,-0.29999999999999716,13.997262149212867,0.41237500000000005,0.6703714285714285,0.1779171534597294,0,0
4,47534,102,33.9,97.1,32.7,96.9,87.8,mixed,8,61.8,oil_system,7.799999999999997,-12.100000000000001,32.535249828884325,0.480885,0.7449931428571428,0.13302366286867734,0,1
4,48717,339,48.7,97.9,30.4,60.5,103.4,highway,4,86.5,brakes,23.400000000000006,2.700000000000003,33.34496919917864,0.6736424999999999,0.7542965714285714,0.12628324058683174,0,0
3,24287,300,54.9,114.0,30.3,85.2,85.8,highway,7,95.5,engine,5.799999999999997,8.899999999999999,22.159671532846716,0.4557175,0.7485765714285714,0.2935590136025083,0,0
